股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因,投入資金
2066,backup_v4,20230308,90.00,20230316,83.50,8,-7.66%,"NT$-12,773",停損,"NT$166,647"
6472,main,20230222,493.00,20230523,807.00,90,+63.25%,"NT$+105,233",到期,"NT$166,378"
2474,backup_v4,20230308,187.50,20230606,188.00,90,-0.18%,NT$-293,到期,"NT$166,549"
1795,main,20230524,334.50,20230608,311.00,15,-7.47%,"NT$-12,433",停損,"NT$166,483"
1580,backup_v4,20230607,134.50,20230609,124.50,2,-7.88%,"NT$-13,125",停損,"NT$166,614"
8046,main,20230531,303.00,20230615,281.00,15,-7.70%,"NT$-12,832",停損,"NT$166,584"
2330,backup_v4,20230614,590.00,20230811,546.00,58,-7.90%,"NT$-13,163",停損,"NT$166,617"
2308,backup_v4,20230614,353.00,20230912,332.50,90,-6.25%,"NT$-10,406",到期,"NT$166,500"
1560,backup_v4,20230621,127.00,20230919,139.00,90,+9.01%,"NT$+15,005",到期,"NT$166,607"
8081,backup_v4,20230816,226.50,20231114,269.00,90,+18.32%,"NT$+30,503",到期,"NT$166,488"
2385,backup_v4,20230913,114.00,20231212,169.00,90,+47.80%,"NT$+79,622",到期,"NT$166,563"
3592,main,20230920,358.50,20231219,388.00,90,+7.79%,"NT$+12,970",到期,"NT$166,581"
