event_date,ratio_before,ratio_after,ratio_change,base_price,return_-4w,return_-3w,return_-2w,return_-1w,return_+1w,return_+2w,return_+3w,return_+4w
20260109,16.01,34.08,1.1286695110137717,53.10,-0.2109227871939736346516007533,-0.2222222222222222222222222222,-0.1591337099811676082862523540,-0.1195856873822975517890772128,0.2523540489642184557438794727,0.1468926553672316384180790960,0.2580037664783427495291902072,-0.02259887005649717514124293785
20230331,28.91,56.95,0.9699065731613085,56.80,-0.07218309859154929577464788732,0.01408450704225352112676056338,-0.04929577464788732394366197183,0.005281690140845070422535211268,-0.07570422535211267605633802817,-0.1179577464788732394366197183,-0.1646126760563380281690140845,-0.1971830985915492957746478873
20230616,20.2,35.01,0.7331682805362236,33.35,-0.03448275862068965517241379310,-0.02098950524737631184407796102,-0.04647676161919040479760119940,-0.005997001499250374812593703148,-0.04197901049475262368815592204,-0.02248875562218890554722638681,-0.007496251874062968515742128936,-0.04047976011994002998500749625
20251128,21.96,37.87,0.7244990562614271,40.80,0.05024509803921568627450980392,0.04044117647058823529411764706,0.009803921568627450980392156863,-0.04534313725490196078431372549,0.02083333333333333333333333333,-0.002450980392156862745098039216,-0.02205882352941176470588235294,0.05392156862745098039215686275
20251212,26.03,44.34,0.7034191047476334,162.50,-0.2215384615384615384615384615,-0.2676923076923076923076923077,-0.1661538461538461538461538462,-0.1692307692307692307692307692,0.003076923076923076923076923077,0.03692307692307692307692307692,0.1661538461538461538461538462,0.3261538461538461538461538462
20230602,32.63,55.23,0.6926141375233177,18.65,-0.03217158176943699731903485255,-0.04289544235924932975871313673,-0.04021447721179624664879356568,-0.03485254691689008042895442359,-0.01340482573726541554959785523,-0.02949061662198391420911528150,-0.01608579088471849865951742627,0.002680965147453083109919571046
20240816,32.19,52.87,0.6424355190296516,78.10,0.01792573623559539052496798976,-0.02176696542893725992317541613,-0.05505761843790012804097311140,-0.1177976952624839948783610755,0.06530089628681177976952624840,0.06786171574903969270166453265,-0.03329065300896286811779769526,0.003841229193341869398207426376
20250815,12.52,20.0,0.5974440417376964,68.50,-0.1824817518248175182481751825,-0.1708029197080291970802919708,-0.2014598540145985401459854015,-0.2087591240875912408759124088,-0.05547445255474452554744525547,0.02627737226277372262773722628,-0.01897810218978102189781021898,-0.06861313868613138686131386861
20251219,22.07,34.51,0.5636610528472562,323.00,-0.3513931888544891640866873065,-0.3095975232198142414860681115,-0.3034055727554179566563467492,-0.2337461300309597523219814241,0.07585139318885448916408668731,0.1609907120743034055727554180,0.06656346749226006191950464396,0.08359133126934984520123839009
20221125,25.04,39.1,0.5615015750199053,16.90,,,-0.02958579881656804733727810651,0,0.06804733727810650887573964497,-0.01775147928994082840236686391,-0.01775147928994082840236686391,-0.04733727810650887573964497041
20231215,22.55,35.16,0.5592017490376162,2.92,-0.05821917808219178082191780822,-0.003424657534246575342465753425,-0.02397260273972602739726027397,0.01712328767123287671232876712,0.1404109589041095890410958904,0.08219178082191780821917808219,0.1369863013698630136986301370,0.09246575342465753424657534247
20260130,32.26,49.64,0.5387476584393164,76.30,-0.3066841415465268676277850590,-0.3040629095674967234600262123,-0.3328964613368283093053735256,-0.3663171690694626474442988204,-0.2005242463958060288335517693,-0.07077326343381389252948885976,-0.07077326343381389252948885976,
20240308,15.99,24.44,0.5284552515037367,48.75,-0.1589743589743589743589743590,-0.1343589743589743589743589744,-0.08923076923076923076923076923,-0.1312820512820512820512820513,-0.1405128205128205128205128205,-0.1282051282051282051282051282,-0.1343589743589743589743589744,-0.1056410256410256410256410256
20230630,17.15,25.57,0.4909620704978386,80.30,-0.1457036114570361145703611457,-0.1481942714819427148194271482,-0.1220423412204234122042341220,-0.1344956413449564134495641345,0.02366127023661270236612702366,0.04358655043586550435865504359,0.01992528019925280199252801993,-0.05728518057285180572851805729
20260130,9.72,14.47,0.4886830772959797,53.40,-0.2191011235955056179775280899,-0.1919475655430711610486891386,-0.1919475655430711610486891386,0.005617977528089887640449438202,0.003745318352059925093632958801,0.003745318352059925093632958801,0.003745318352059925093632958801,
20241004,56.57,84.07,0.4861233783609089,32.85,0.1111111111111111111111111111,0.1095890410958904109589041096,0.09893455098934550989345509893,-0.06544901065449010654490106545,-0.02891933028919330289193302892,0.02435312024353120243531202435,0.07153729071537290715372907154,-0.01065449010654490106544901065
