stock_code,start_date,consecutive_weeks,weeks_forward,start_price,forward_price,return_pct
3090,20230117,1,1,53.0,53.3,0.5660377358490513
3090,20230117,1,2,53.0,54.0,1.8867924528301887
3090,20230117,1,4,53.0,55.0,3.7735849056603774
3090,20230117,1,12,53.0,59.7,12.64150943396227
3090,20230203,53,1,54.6,54.9,0.5494505494505442
3090,20230203,53,2,54.6,56.4,3.296703296703291
3090,20230203,53,4,54.6,57.6,5.4945054945054945
3090,20230203,53,12,54.6,57.2,4.7619047619047645
3090,20240205,1,1,56.6,58.9,4.063604240282681
3090,20240205,1,2,56.6,59.0,4.240282685512365
3090,20240205,1,4,56.6,61.4,8.48056537102473
3090,20240205,1,12,56.6,60.9,7.59717314487632
3090,20240216,50,1,59.1,60.9,3.0456852791878126
3090,20240216,50,2,59.1,61.9,4.737732656514377
3090,20240216,50,4,59.1,59.2,0.16920473773265893
3090,20240216,50,12,59.1,66.9,13.197969543147215
3090,20250207,54,1,72.0,71.9,-0.138888888888881
3090,20250207,54,2,72.0,71.6,-0.5555555555555635
3090,20250207,54,4,72.0,70.8,-1.6666666666666705
3090,20250207,54,12,72.0,65.8,-8.611111111111116
3092,20221111,10,1,35.8,36.35,1.5363128491620233
3092,20221111,10,2,35.8,35.5,-0.8379888268156346
3092,20221111,10,4,35.8,37.2,3.910614525139681
3092,20221111,10,12,35.8,36.5,1.9553072625698404
3092,20230117,1,1,34.1,35.25,3.3724340175953036
3092,20230117,1,2,34.1,35.35,3.6656891495601167
3092,20230117,1,4,34.1,37.5,9.970674486803514
3092,20230117,1,12,34.1,35.0,2.63929618768328
3092,20230203,53,1,36.5,36.95,1.232876712328775
3092,20230203,53,2,36.5,38.45,5.342465753424666
3092,20230203,53,4,36.5,37.0,1.36986301369863
3092,20230203,53,12,36.5,37.75,3.4246575342465753
3092,20240205,1,1,33.5,33.85,1.0447761194029892
3092,20240205,1,2,33.5,34.5,2.9850746268656714
3092,20240205,1,4,33.5,32.9,-1.7910447761194073
3092,20240205,1,12,33.5,33.45,-0.1492537313432751
3092,20240216,50,1,34.1,33.7,-1.1730205278592334
3092,20240216,50,2,34.1,33.1,-2.9325513196480935
3092,20240216,50,4,34.1,30.85,-9.530791788856305
3092,20240216,50,12,34.1,33.6,-1.4662756598240467
3092,20250207,54,1,26.5,29.6,11.698113207547175
3092,20250207,54,2,26.5,28.65,8.113207547169806
3092,20250207,54,4,26.5,27.25,2.8301886792452833
3092,20250207,54,12,26.5,20.1,-24.15094339622641
3093,20221111,3,1,94.3,101.0,7.104984093319197
3093,20221111,3,2,94.3,107.5,13.997879109225877
3093,20221111,3,4,94.3,27.8,-70.51961823966066
3093,20221111,3,12,94.3,28.7,-69.56521739130434
3093,20221216,5,1,27.65,27.65,0.0
3093,20221216,5,2,27.65,26.95,-2.5316455696202507
3093,20221216,5,4,27.65,28.0,1.2658227848101318
3093,20221216,5,12,27.65,41.95,51.71790235081376
3093,20230117,1,1,27.75,27.7,-0.18018018018018275
3093,20230117,1,2,27.75,28.0,0.9009009009009009
3093,20230117,1,4,27.75,29.6,6.666666666666672
3093,20230117,1,12,27.75,38.5,38.73873873873874
3093,20230203,53,1,28.7,29.25,1.9163763066202117
3093,20230203,53,2,28.7,30.65,6.794425087108012
3093,20230203,53,4,28.7,31.6,10.104529616724745
3093,20230203,53,12,28.7,38.15,32.92682926829268
3093,20240205,1,1,30.75,30.85,0.325203252032525
3093,20240205,1,2,30.75,30.85,0.325203252032525
3093,20240205,1,4,30.75,30.65,-0.325203252032525
3093,20240205,1,12,30.75,30.8,0.1626016260162625
3093,20240216,50,1,30.8,30.7,-0.3246753246753293
3093,20240216,50,2,30.8,30.85,0.16233766233766464
3093,20240216,50,4,30.8,30.05,-2.4350649350649354
3093,20240216,50,12,30.8,30.15,-2.110389610389617
3093,20250207,54,1,26.25,26.0,-0.9523809523809524
3093,20250207,54,2,26.25,25.9,-1.3333333333333388
3093,20250207,54,4,26.25,25.95,-1.1428571428571457
3093,20250207,54,12,26.25,26.45,0.7619047619047592
3094,20221111,10,1,25.75,26.0,0.9708737864077669
3094,20221111,10,2,25.75,25.7,-0.19417475728155617
3094,20221111,10,4,25.75,25.75,0.0
3094,20221111,10,12,25.75,27.35,6.213592233009714
3094,20230117,1,1,24.65,25.1,1.8255578093306406
3094,20230117,1,2,24.65,25.45,3.245436105476676
3094,20230117,1,4,24.65,28.9,17.24137931034483
3094,20230117,1,12,24.65,33.1,34.279918864097375
3094,20230203,53,1,27.35,27.35,0.0
3094,20230203,53,2,27.35,29.25,6.94698354661791
3094,20230203,53,4,27.35,32.2,17.733089579524687
3094,20230203,53,12,27.35,34.0,24.3144424131627
3094,20240205,1,1,35.2,35.6,1.1363636363636322
3094,20240205,1,2,35.2,36.4,3.409090909090897
3094,20240205,1,4,35.2,34.35,-2.414772727272731
3094,20240205,1,12,35.2,31.2,-11.363636363636372
3094,20240216,50,1,36.55,35.45,-3.0095759233925974
3094,20240216,50,2,36.55,34.4,-5.8823529411764675
3094,20240216,50,4,36.55,33.5,-8.344733242134057
3094,20240216,50,12,36.55,30.95,-15.321477428180568
3094,20250207,54,1,30.25,30.25,0.0
3094,20250207,54,2,30.25,30.35,0.33057851239669894
3094,20250207,54,4,30.25,29.55,-2.314049586776857
3094,20250207,54,12,30.25,24.0,-20.66115702479339
3095,20221111,10,1,27.5,38.5,40.0
