engine,stock,buy_date,entry_price,exit_date,exit_price,weeks_held,gross_return_pct,net_return_pct,pnl_twd,exit_reason
main,1795,20221209,254.0,20221216,236.21999999999997,1,-7.677165354330709,-7.4425,-9295,stop_loss
main,3443,20221209,794.0,20221223,738.42,2,-8.564231738035264,-7.4425,-9291,stop_loss
main,2338,20221209,92.7,20221230,86.211,3,-8.629989212513484,-7.4425,-9300,stop_loss
main,4162,20221209,126.0,20230106,125.5,4,-0.3968253968253968,-0.8393253968253969,-1048,hold_period
main,4746,20221230,73.5,20230106,68.35499999999999,1,-9.387755102040824,-7.4425,-9302,stop_loss
main,1513,20221223,66.0,20230203,78.1,6,18.333333333333325,17.890833333333326,22361,hold_period
main,3128,20230106,41.05,20230203,42.5,4,3.53227771010963,3.08977771010963,3861,hold_period
main,3231,20230106,29.3,20230203,31.95,4,9.044368600682589,8.601868600682588,10752,hold_period
main,4155,20230203,31.45,20230303,33.25,4,5.7233704292527845,5.280870429252785,6600,hold_period
main,6180,20230203,81.9,20230303,83.5,4,1.9536019536019467,1.5111019536019468,1889,hold_period
main,8358,20230203,66.2,20230303,63.5,4,-4.078549848942602,-4.521049848942602,-5650,hold_period
main,2727,20230303,283.0,20230310,263.19,1,-7.773851590106007,-7.4425,-9302,stop_loss
main,4960,20230303,12.5,20230331,12.55,4,0.40000000000000563,-0.042499999999994376,-53,hold_period
main,6290,20230303,72.0,20230331,68.6,4,-4.72222222222223,-5.16472222222223,-6454,hold_period
main,6472,20230303,521.0,20230331,740.0,4,42.034548944337814,41.59204894433781,51864,hold_period
main,2338,20230331,92.5,20230421,86.02499999999999,3,-11.02702702702703,-7.4425,-9300,stop_loss
main,3362,20230331,103.5,20230421,96.255,3,-10.2415458937198,-7.4425,-9303,stop_loss
main,2449,20230331,48.5,20230428,47.0,4,-3.0927835051546393,-3.535283505154639,-4418,hold_period
main,3231,20230331,41.85,20230428,46.5,4,11.111111111111107,10.668611111111106,13333,hold_period
main,1760,20230421,164.5,20230512,152.98499999999999,3,-13.069908814589665,-7.4425,-9293,stop_loss
main,1752,20230428,80.6,20230512,74.95799999999998,2,-14.39205955334987,-7.4425,-9299,stop_loss
main,1519,20230421,95.4,20230519,123.5,4,29.454926624737936,29.012426624737937,36254,hold_period
main,3324,20230428,248.0,20230526,279.0,4,12.5,12.0575,15062,hold_period
main,6438,20230512,116.0,20230609,116.0,4,0.0,-0.4425,-553,hold_period
main,8155,20230512,141.0,20230609,156.0,4,10.638297872340425,10.195797872340425,12741,hold_period
main,1795,20230519,343.5,20230609,319.455,3,-7.132459970887918,-7.4425,-9293,stop_loss
main,2427,20230526,24.35,20230609,25.8,2,5.954825462012317,5.512325462012317,6890,trailing_stop
main,1514,20230609,57.1,20230707,60.7,4,6.304728546409811,5.862228546409811,7328,hold_period
main,2486,20230609,43.5,20230707,45.7,4,5.057471264367823,4.614971264367823,5768,hold_period
main,2610,20230609,22.7,20230707,26.25,4,15.638766519823793,15.196266519823793,18993,hold_period
main,2618,20230609,35.85,20230707,39.8,4,11.018131101813097,10.575631101813096,13217,hold_period
main,3027,20230707,52.8,20230714,49.10399999999999,1,-7.859848484848482,-7.4425,-9303,stop_loss
main,1522,20230707,36.15,20230721,33.619499999999995,2,-10.650069156293226,-7.4425,-9301,stop_loss
main,3289,20230714,117.0,20230721,108.80999999999999,1,-7.6923076923076925,-7.4425,-9296,stop_loss
main,3035,20230707,244.5,20230728,319.5,3,30.67484662576687,30.232346625766873,37752,trailing_stop
main,2462,20230707,31.05,20230804,35.3,4,13.687600644122371,13.24510064412237,16556,hold_period
main,2388,20230728,147.5,20230804,137.17499999999998,1,-25.76271186440678,-7.4425,-9300,stop_loss
main,1570,20230721,20.5,20230818,19.85,4,-3.170731707317066,-3.613231707317066,-4516,hold_period
main,1618,20230721,26.15,20230818,25.0,4,-4.397705544933073,-4.840205544933073,-6050,hold_period
main,1519,20230804,213.0,20230901,292.5,4,37.32394366197183,36.88144366197183,46100,hold_period
main,1560,20230804,131.5,20230901,127.0,4,-3.4220532319391634,-3.8645532319391633,-4830,hold_period
main,2031,20230818,46.8,20230915,49.5,4,5.769230769230775,5.3267307692307755,6658,hold_period
main,2462,20230818,38.45,20230915,40.35,4,4.941482444733416,4.498982444733416,5623,hold_period
main,5706,20230901,71.9,20230922,66.867,3,-8.623087621696804,-7.4425,-9303,stop_loss
main,3006,20230922,83.9,20230928,78.027,1,-7.628128724672235,-7.4425,-9298,stop_loss
main,4906,20230901,37.05,20231006,36.7,5,-0.9446693657219821,-1.3871693657219821,-1734,hold_period
main,2331,20230915,30.55,20231013,28.4115,4,-8.183306055646481,-7.4425,-9301,stop_loss
main,2392,20230915,43.0,20231013,41.3,4,-3.9534883720930303,-4.39598837209303,-5493,hold_period
main,3032,20231006,75.3,20231013,70.029,1,-8.632138114209829,-7.4425,-9299,stop_loss
main,3032,20231013,68.8,20231020,63.983999999999995,1,-12.354651162790699,-7.4425,-9302,stop_loss
main,2404,20230928,227.5,20231027,242.0,4,6.373626373626373,5.931126373626373,7405,hold_period
main,2059,20231020,797.0,20231103,741.2099999999999,2,-9.786700125470514,-7.4425,-9267,stop_loss
main,1560,20231013,164.5,20231110,171.0,4,3.951367781155015,3.5088677811550153,4381,hold_period
backup,4961,20231013,269.0,20231110,250.17,4,-8.178438661710038,-7.4425,-9303,stop_loss
main,3006,20231027,85.6,20231124,93.6,4,9.345794392523366,8.903294392523366,11128,hold_period
main,3260,20231103,100.5,20231201,99.6,4,-0.8955223880597071,-1.338022388059707,-1673,hold_period
main,3704,20231110,49.0,20231208,51.8,4,5.714285714285708,5.271785714285708,6589,hold_period
main,4967,20231110,87.1,20231208,88.7,4,1.8369690011481155,1.3944690011481153,1743,hold_period
main,3105,20231124,167.0,20231222,155.31,4,-7.48502994011976,-7.4425,-9298,stop_loss
main,1515,20231201,58.0,20231222,53.94,3,-10.862068965517237,-7.4425,-9303,stop_loss
main,1513,20231208,126.0,20231222,117.17999999999999,2,-7.936507936507936,-7.4425,-9297,stop_loss
main,1316,20231208,12.55,20240105,13.05,4,3.9840637450199203,3.5415637450199204,4427,hold_period
main,1733,20231222,36.35,20240112,33.8055,3,-10.041265474552953,-7.4425,-9301,stop_loss
main,2392,20231222,48.2,20240112,44.826,3,-7.468879668049795,-7.4425,-9301,stop_loss
main,1519,20231222,321.0,20240119,354.5,4,10.43613707165109,9.99363707165109,12465,hold_period
main,2353,20240105,48.25,20240202,45.95,4,-4.766839378238337,-5.209339378238337,-6509,hold_period
main,3287,20240112,36.2,20240205,39.85,3,10.08287292817679,9.64037292817679,12050,trailing_stop
main,2603,20240112,156.5,20240216,148.0,5,-5.431309904153355,-5.8738099041533545,-7337,hold_period
main,3017,20240119,346.0,20240216,510.0,4,47.398843930635834,46.95634393063583,58572,hold_period
main,2376,20240216,381.0,20240223,354.33,1,-10.104986876640421,-7.4425,-9286,stop_loss
main,1809,20240202,17.55,20240301,31.75,4,80.9116809116809,80.46918091168091,100581,hold_period
main,1319,20240205,85.0,20240308,96.5,4,13.529411764705882,13.086911764705881,16353,hold_period
main,1522,20240301,50.8,20240308,47.24399999999999,1,-12.795275590551181,-7.4425,-9303,stop_loss
main,2465,20240216,113.5,20240315,125.5,4,10.572687224669604,10.130187224669603,12654,trailing_stop
main,2376,20240223,342.5,20240315,318.525,3,-8.613138686131387,-7.4425,-9292,stop_loss
main,1522,20240308,44.3,20240412,53.9,5,21.670428893905196,21.227928893905197,26529,hold_period
main,2387,20240308,63.0,20240412,62.8,5,-0.317460317460322,-0.759960317460322,-950,hold_period
main,2455,20240315,173.0,20240412,161.0,4,-6.9364161849710975,-7.378916184971097,-9217,hold_period
main,2603,20240315,166.5,20240412,176.5,4,6.006006006006006,5.563506006006006,6948,hold_period
main,1522,20240412,53.9,20240419,50.126999999999995,1,-7.606679035250467,-7.4425,-9300,stop_loss
main,1795,20240412,342.0,20240419,318.06,1,-8.91812865497076,-7.4425,-9278,stop_loss
main,3083,20240412,51.5,20240419,47.894999999999996,1,-7.087378640776697,-7.4425,-9300,stop_loss
main,3264,20240412,79.3,20240503,73.749,3,-8.448928121059271,-7.4425,-9303,stop_loss
main,1795,20240419,311.5,20240510,289.695,3,-7.704654895666131,-7.4425,-9287,stop_loss
main,1522,20240419,49.8,20240517,61.5,4,23.493975903614466,23.051475903614467,28809,hold_period
main,2425,20240419,37.5,20240517,37.1,4,-1.0666666666666629,-1.5091666666666628,-1886,hold_period
main,1514,20240503,135.0,20240517,125.55,2,-12.592592592592592,-7.4425,-9297,stop_loss
main,2206,20240510,78.6,20240607,76.7,4,-2.4173027989821776,-2.8598027989821775,-3575,hold_period
main,2609,20240517,71.0,20240614,75.4,4,6.197183098591557,5.754683098591557,7193,hold_period
main,3413,20240517,307.0,20240614,308.0,4,0.32573289902280134,-0.11676710097719867,-146,hold_period
main,3483,20240517,170.0,20240614,195.0,4,14.705882352941178,14.263382352941177,17823,hold_period
main,3483,20240614,195.0,20240628,202.0,2,3.5897435897435894,3.1472435897435895,3933,trailing_stop
main,3450,20240607,87.5,20240705,143.5,4,64.0,63.5575,79417,hold_period
main,6143,20240614,139.0,20240705,129.26999999999998,3,-7.913669064748201,-7.4425,-9303,stop_loss
main,3491,20240614,294.0,20240712,291.0,4,-1.0204081632653061,-1.4629081632653063,-1826,hold_period
main,2312,20240712,27.55,20240719,25.621499999999997,1,-7.441016333938297,-7.4425,-9302,stop_loss
main,2316,20240628,56.0,20240726,52.08,4,-8.571428571428566,-7.4425,-9299,stop_loss
main,2439,20240705,145.0,20240726,134.85,3,-14.482758620689657,-7.4425,-9294,stop_loss
main,2449,20240705,121.0,20240726,112.52999999999999,3,-10.330578512396695,-7.4425,-9298,stop_loss
main,2313,20240719,80.4,20240802,74.772,2,-8.333333333333336,-7.4425,-9300,stop_loss
main,2467,20240726,205.0,20240802,190.64999999999998,1,-11.951219512195122,-7.4425,-9290,stop_loss
main,3013,20240726,116.0,20240802,107.88,1,-12.5,-7.4425,-9303,stop_loss
main,3022,20240726,89.4,20240802,83.142,1,-8.27740492170023,-7.4425,-9302,stop_loss
main,6177,20240802,65.0,20240809,60.449999999999996,1,-10.153846153846157,-7.4425,-9301,stop_loss
backup,2739,20240802,68.5,20240809,63.705,1,-12.408759124087592,-7.4425,-9302,stop_loss
main,2520,20240802,56.2,20240830,57.1,4,1.6014234875444813,1.1589234875444814,1449,hold_period
main,3022,20240802,82.0,20240830,79.8,4,-2.682926829268296,-3.125426829268296,-3906,hold_period
main,2025,20240809,11.9,20240906,11.45,4,-3.7815126050420256,-4.2240126050420255,-5280,hold_period
main,2548,20240809,141.5,20240906,139.0,4,-1.76678445229682,-2.20928445229682,-2761,hold_period
main,1708,20240830,38.85,20240927,41.95,4,7.979407979407983,7.536907979407983,9418,hold_period
main,3019,20240830,122.0,20240927,115.0,4,-5.737704918032787,-6.1802049180327865,-7724,hold_period
main,2388,20240906,120.0,20241004,130.0,4,8.333333333333332,7.890833333333332,9862,hold_period
main,2543,20240906,71.9,20241004,85.8,4,19.332406119610557,18.889906119610558,23612,hold_period
main,1582,20240927,107.0,20241011,99.50999999999999,2,-7.943925233644859,-7.4425,-9299,stop_loss
main,2033,20240927,23.0,20241011,21.389999999999997,2,-12.826086956521737,-7.4425,-9303,stop_loss
main,1727,20241004,41.65,20241011,38.7345,1,-8.163265306122446,-7.4425,-9300,stop_loss
main,2543,20241011,97.7,20241025,90.86099999999999,2,-8.393039918116687,-7.4425,-9299,stop_loss
main,1569,20241004,37.95,20241101,38.3,4,0.9222661396574289,0.47976613965742887,600,hold_period
main,1721,20241011,21.25,20241108,19.7625,4,-7.0588235294117645,-7.4425,-9302,stop_loss
main,2033,20241011,20.05,20241108,25.65,4,27.93017456359101,27.48767456359101,34357,hold_period
main,2497,20241025,76.2,20241108,70.866,2,-8.00524934383203,-7.4425,-9303,stop_loss
main,2486,20241101,130.0,20241115,120.89999999999999,2,-13.846153846153847,-7.4425,-9301,stop_loss
main,6108,20241108,17.65,20241115,16.414499999999997,1,-9.348441926345602,-7.4425,-9303,stop_loss
main,2354,20241108,97.3,20241122,90.48899999999999,2,-15.519013360739976,-7.4425,-9297,stop_loss
main,4576,20241108,131.0,20241129,121.83,3,-11.83206106870229,-7.4425,-9295,stop_loss
main,3037,20241115,163.5,20241129,152.05499999999998,2,-8.868501529051988,-7.4425,-9298,stop_loss
main,3231,20241115,117.5,20241213,111.5,4,-5.106382978723404,-5.5488829787234035,-6934,hold_period
main,2618,20241122,41.5,20241220,44.6,4,7.469879518072292,7.027379518072292,8782,hold_period
main,2606,20241129,59.6,20241220,55.428,3,-11.073825503355707,-7.4425,-9302,stop_loss
main,2376,20241129,271.5,20241227,276.5,4,1.841620626151013,1.3991206261510132,1746,hold_period
main,1569,20241213,60.0,20241227,55.8,2,-11.333333333333329,-7.4425,-9301,stop_loss
main,2374,20241227,66.2,20250103,61.565999999999995,1,-7.25075528700907,-7.4425,-9301,stop_loss
main,2359,20241227,165.0,20250110,153.45,2,-8.484848484848486,-7.4425,-9297,stop_loss
main,1785,20241220,61.7,20250117,60.1,4,-2.5931928687196133,-3.035692868719613,-3795,hold_period
main,2368,20241220,230.5,20250117,214.36499999999998,4,-8.026030368763557,-7.4425,-9294,stop_loss
main,2313,20250103,71.0,20250207,69.9,5,-1.5492957746478793,-1.9917957746478794,-2490,hold_period
main,1597,20250110,106.0,20250207,103.5,4,-2.358490566037736,-2.800990566037736,-3500,hold_period
main,3040,20250117,49.15,20250214,50.4,4,2.5432349949135302,2.1007349949135303,2625,hold_period
main,3078,20250117,78.5,20250214,84.4,4,7.515923566878987,7.073423566878987,8841,hold_period
main,1786,20250207,120.0,20250307,121.5,4,1.25,0.8075,1009,hold_period
main,1815,20250207,34.5,20250307,33.15,4,-3.913043478260873,-4.3555434782608735,-5444,hold_period
main,3264,20250214,77.5,20250314,72.1,4,-6.967741935483879,-7.410241935483879,-9259,hold_period
main,3592,20250214,384.5,20250314,373.5,4,-2.860858257477243,-3.303358257477243,-4121,hold_period
main,2328,20250307,45.6,20250328,47.7,3,4.60526315789474,4.16276315789474,5203,trailing_stop
main,3563,20250314,565.0,20250328,525.4499999999999,2,-8.849557522123893,-7.4425,-9264,stop_loss
main,4763,20250314,959.0,20250402,891.8699999999999,2,-8.86339937434828,-7.4425,-9292,stop_loss
main,1817,20250307,48.25,20250411,46.05,5,-4.559585492227986,-5.002085492227986,-6250,hold_period
main,1524,20250328,42.05,20250411,39.1065,2,-22.473246135552905,-7.4425,-9302,stop_loss
main,2027,20250328,50.9,20250411,47.336999999999996,2,-12.377210216110015,-7.4425,-9302,stop_loss
main,2468,20250402,52.0,20250502,77.1,4,48.26923076923076,47.82673076923076,59773,hold_period
main,2634,20250411,47.1,20250509,47.25,4,0.3184713375796148,-0.12402866242038518,-155,hold_period
main,6829,20250411,118.5,20250509,138.0,4,16.455696202531644,16.013196202531645,20010,hold_period
backup,6227,20250411,78.0,20250509,102.5,4,31.41025641025641,30.96775641025641,38703,hold_period
backup,3147,20250502,293.5,20250509,272.955,1,-7.666098807495741,-7.4425,-9297,stop_loss
main,3147,20250509,271.0,20250516,252.02999999999997,1,-13.284132841328415,-7.4425,-9291,stop_loss
main,3147,20250516,235.0,20250529,218.54999999999998,1,-13.404255319148936,-7.4425,-9300,stop_loss
main,8016,20250509,209.0,20250606,213.5,4,2.15311004784689,1.71061004784689,2137,hold_period
backup,2745,20250516,128.0,20250606,119.03999999999999,3,-8.203125,-7.4425,-9301,stop_loss
backup,6669,20250516,2380.0,20250613,2565.0,4,7.773109243697479,7.330609243697479,9085,hold_period
main,2603,20250529,244.5,20250620,227.385,3,-15.132924335378323,-7.4425,-9294,stop_loss
main,1616,20250620,42.65,20250627,39.6645,1,-7.151230949589676,-7.4425,-9301,stop_loss
main,2731,20250606,162.5,20250704,161.0,4,-0.9230769230769231,-1.3655769230769232,-1707,hold_period
main,5469,20250606,60.3,20250704,60.7,4,0.6633499170812698,0.22084991708126978,276,hold_period
backup,5234,20250613,264.5,20250711,245.98499999999999,4,-7.750472589792061,-7.4425,-9285,stop_loss
main,2344,20250704,19.15,20250718,17.809499999999996,2,-7.83289817232376,-7.4425,-9303,stop_loss
main,1513,20250627,166.0,20250725,165.0,4,-0.6024096385542169,-1.044909638554217,-1305,hold_period
main,3013,20250704,128.0,20250801,125.0,4,-2.34375,-2.78625,-3482,hold_period
main,2889,20250718,16.7,20250801,15.530999999999999,2,-13.173652694610775,-7.4425,-9303,stop_loss
main,1560,20250725,350.0,20250801,325.5,1,-10.428571428571429,-7.4425,-9287,stop_loss
main,4991,20250711,153.0,20250808,158.0,4,3.2679738562091507,2.825473856209151,3528,hold_period
main,2316,20250801,80.7,20250808,75.051,1,-7.434944237918216,-7.4425,-9299,stop_loss
main,1519,20250801,657.0,20250822,611.01,3,-9.1324200913242,-7.4425,-9255,stop_loss
main,2889,20250801,14.5,20250829,15.5,4,6.896551724137931,6.454051724137931,8067,hold_period
main,1802,20250808,23.95,20250905,27.65,4,15.44885177453027,15.00635177453027,18755,trailing_stop
main,3217,20250808,166.5,20250905,176.0,4,5.7057057057057055,5.263205705705706,6573,hold_period
main,2493,20250829,172.0,20250905,159.95999999999998,1,-21.802325581395348,-7.4425,-9294,stop_loss
main,3162,20250905,60.1,20250912,55.893,1,-7.1547420965058315,-7.4425,-9299,stop_loss
main,4722,20250905,134.0,20250912,124.61999999999999,1,-7.835820895522389,-7.4425,-9298,stop_loss
main,2374,20250822,75.1,20250919,84.5,4,12.51664447403463,12.074144474034629,15092,trailing_stop
main,2641,20250905,20.4,20251003,20.4,4,0.0,-0.4425,-553,hold_period
main,1316,20250912,14.05,20251017,15.5,5,10.32028469750889,9.87778469750889,12347,hold_period
main,2731,20250912,160.5,20251017,163.0,5,1.557632398753894,1.115132398753894,1393,hold_period
main,2344,20250919,33.5,20251017,43.95,4,31.19402985074628,30.75152985074628,38439,hold_period
main,2236,20251003,109.5,20251017,101.835,2,-22.37442922374429,-7.4425,-9296,stop_loss
main,3376,20251017,219.5,20251107,204.135,3,-8.88382687927107,-7.4425,-9292,stop_loss
main,1612,20251017,38.25,20251114,35.95,4,-6.0130718954248294,-6.455571895424829,-8069,hold_period
main,1815,20251017,65.8,20251114,89.0,4,35.258358662613986,34.815858662613984,43497,hold_period
main,3709,20251017,50.0,20251114,60.8,4,21.599999999999994,21.157499999999995,26442,hold_period
main,1316,20251107,15.0,20251121,13.95,2,-7.000000000000004,-7.4425,-9303,stop_loss
main,2515,20251114,16.5,20251121,15.344999999999999,1,-10.606060606060606,-7.4425,-9302,stop_loss
main,6138,20251114,238.5,20251212,221.80499999999998,4,-8.176100628930817,-7.4425,-9297,stop_loss
main,6274,20251114,397.5,20251212,443.0,4,11.446540880503145,11.004040880503144,13754,hold_period
main,2421,20251121,174.5,20251212,162.285,3,-9.742120343839542,-7.4425,-9299,stop_loss
main,1815,20251121,81.9,20251219,80.8,4,-1.3431013431013534,-1.7856013431013533,-2232,hold_period
main,2388,20251219,56.3,20260102,52.358999999999995,2,-8.525754884547064,-7.4425,-9303,stop_loss
main,1560,20251212,369.0,20260109,409.5,4,10.975609756097562,10.533109756097561,13156,hold_period
main,2468,20251212,41.5,20260109,40.4,4,-2.6506024096385574,-3.0931024096385573,-3865,hold_period
main,2605,20251212,25.5,20260109,27.75,4,8.823529411764707,8.381029411764706,10474,hold_period
main,1785,20260102,65.7,20260130,63.9,4,-2.739726027397267,-3.1822260273972667,-3976,hold_period
main,1560,20260109,409.5,20260206,396.0,4,-3.296703296703297,-3.739203296703297,-4661,hold_period
main,2337,20260109,58.3,20260206,80.8,4,38.59348198970841,38.150981989708406,47688,trailing_stop
main,3006,20260109,136.0,20260206,160.0,4,17.647058823529413,17.204558823529414,21487,trailing_stop
main,1609,20260130,41.55,20260206,38.64149999999999,1,-9.38628158844765,-7.4425,-9303,stop_loss
main,1795,20260206,331.5,20260226,308.29499999999996,2,-15.987933634992457,-7.4425,-9290,stop_loss
main,2351,20260206,86.4,20260226,86.2,open,-0.23148148148148476,-0.6739814814814847,-842,data_end
main,2374,20260206,78.2,20260226,81.0,open,3.5805626598465436,3.1380626598465438,3922,data_end
main,2481,20260206,87.0,20260226,90.6,open,4.137931034482753,3.695431034482753,4617,data_end
main,3163,20260226,776.0,20260226,776.0,open,0.0,-0.4425,-550,data_end
