window,quintile,count,mean_return,median_return,std_dev,win_rate,source,stock_code,start_date,consecutive_weeks,weeks_forward,start_price,forward_price,return_pct,event_date,ratio_before,ratio_after,ratio_change,base_price,return_-4w,return_-3w,return_-2w,return_-1w,return_+1w,return_+2w,return_+3w,return_+4w
,,,,,,,Agent-B,3083,20250207.0,54.0,1.0,43.2,42.9,-0.6944444444444543,,,,,,,,,,,,,
,,,,,,,Agent-B,3083,20250207.0,54.0,2.0,43.2,43.0,-0.4629629629629695,,,,,,,,,,,,,
,,,,,,,Agent-B,3083,20250207.0,54.0,4.0,43.2,41.8,-3.240740740740754,,,,,,,,,,,,,
,,,,,,,Agent-B,3083,20250207.0,54.0,12.0,43.2,35.9,-16.898148148148156,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20221111.0,10.0,1.0,10.0,10.0,0.0,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20221111.0,10.0,2.0,10.0,10.0,0.0,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20221111.0,10.0,4.0,10.0,10.5,5.0,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20221111.0,10.0,12.0,10.0,22.1,121.0,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20230117.0,1.0,1.0,10.95,10.9,-0.4566210045662003,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20230117.0,1.0,2.0,10.95,11.05,0.913242009132433,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20230117.0,1.0,4.0,10.95,22.05,101.36986301369866,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20230117.0,1.0,12.0,10.95,21.45,95.89041095890413,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20230217.0,51.0,1.0,21.9,22.2,1.3698630136986336,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20230217.0,51.0,2.0,21.9,20.0,-8.675799086757985,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20230217.0,51.0,4.0,21.9,21.7,-0.9132420091324168,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20230217.0,51.0,12.0,21.9,21.9,0.0,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20240205.0,1.0,1.0,10.25,10.8,5.365853658536592,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20240205.0,1.0,2.0,10.25,10.8,5.365853658536592,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20240205.0,1.0,4.0,10.25,11.3,10.243902439024396,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20240205.0,1.0,12.0,10.25,14.25,39.02439024390244,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20240216.0,50.0,1.0,10.35,11.15,7.729468599033823,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20240216.0,50.0,2.0,10.35,11.4,10.144927536231892,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20240216.0,50.0,4.0,10.35,10.75,3.864734299516912,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20240216.0,50.0,12.0,10.35,14.65,41.54589371980677,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20250207.0,54.0,1.0,24.2,22.3,-7.851239669421482,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20250207.0,54.0,2.0,24.2,23.35,-3.512396694214867,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20250207.0,54.0,4.0,24.2,21.3,-11.98347107438016,,,,,,,,,,,,,
,,,,,,,Agent-B,3085,20250207.0,54.0,12.0,24.2,17.3,-28.51239669421487,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20221111.0,10.0,1.0,73.2,80.1,9.426229508196707,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20221111.0,10.0,2.0,73.2,76.0,3.8251366120218537,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20221111.0,10.0,4.0,73.2,82.8,13.114754098360647,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20221111.0,10.0,12.0,73.2,80.8,10.38251366120218,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20230117.0,1.0,1.0,80.0,80.9,1.125000000000007,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20230117.0,1.0,2.0,80.0,80.6,0.7499999999999929,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20230117.0,1.0,4.0,80.0,79.0,-1.25,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20230117.0,1.0,12.0,80.0,74.9,-6.374999999999993,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20230203.0,53.0,1.0,80.8,79.2,-1.9801980198019733,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20230203.0,53.0,2.0,80.8,80.0,-0.9900990099009866,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20230203.0,53.0,4.0,80.8,79.3,-1.8564356435643563,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20230203.0,53.0,12.0,80.8,72.5,-10.27227722772277,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20240205.0,1.0,1.0,125.0,119.5,-4.4,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20240205.0,1.0,2.0,125.0,117.5,-6.0,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20240205.0,1.0,4.0,125.0,114.0,-8.799999999999999,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20240205.0,1.0,12.0,125.0,115.0,-8.0,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20240216.0,50.0,1.0,121.5,115.0,-5.349794238683128,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20240216.0,50.0,2.0,121.5,115.0,-5.349794238683128,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20240216.0,50.0,4.0,121.5,119.0,-2.05761316872428,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20240216.0,50.0,12.0,121.5,128.0,5.349794238683128,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20250207.0,54.0,1.0,156.0,167.0,7.051282051282051,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20250207.0,54.0,2.0,156.0,171.0,9.615384615384617,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20250207.0,54.0,4.0,156.0,167.5,7.371794871794872,,,,,,,,,,,,,
,,,,,,,Agent-B,3086,20250207.0,54.0,12.0,156.0,155.5,-0.3205128205128205,,,,,,,,,,,,,
,,,,,,,Agent-B,3088,20221111.0,10.0,1.0,55.8,56.7,1.612903225806462,,,,,,,,,,,,,
,,,,,,,Agent-B,3088,20221111.0,10.0,2.0,55.8,56.2,0.7168458781362109,,,,,,,,,,,,,
,,,,,,,Agent-B,3088,20221111.0,10.0,4.0,55.8,57.9,3.7634408602150566,,,,,,,,,,,,,
,,,,,,,Agent-B,3088,20221111.0,10.0,12.0,55.8,61.1,9.498207885304668,,,,,,,,,,,,,
,,,,,,,Agent-B,3088,20230117.0,1.0,1.0,60.2,60.5,0.4983388704318889,,,,,,,,,,,,,
,,,,,,,Agent-B,3088,20230117.0,1.0,2.0,60.2,60.3,0.1661129568106217,,,,,,,,,,,,,
,,,,,,,Agent-B,3088,20230117.0,1.0,4.0,60.2,61.2,1.661129568106312,,,,,,,,,,,,,
,,,,,,,Agent-B,3088,20230117.0,1.0,12.0,60.2,78.5,30.39867109634551,,,,,,,,,,,,,
