股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因
1342,backup_v3,20221221,134.50,20221227,122.50,6,-9.36%,"NT$-7,795",停損
3443,main,20221207,742.00,20221228,636.00,21,-14.73%,"NT$-12,257",停損
6472,main,20221207,400.00,20230118,402.00,42,+0.06%,NT$+48,到期
1477,backup_v3,20221221,240.00,20230131,218.00,41,-9.61%,"NT$-7,991",停損
1476,backup_v3,20221221,472.50,20230201,488.00,42,+2.84%,"NT$+2,363",到期
1513,backup_v3,20221221,65.50,20230201,80.20,42,+22.00%,"NT$+18,327",到期
3587,backup_v3,20221228,158.50,20230208,179.00,42,+12.49%,"NT$+10,409",到期
2207,backup_v3,20230208,642.00,20230316,595.00,36,-7.76%,"NT$-6,439",停損
1605,backup_v3,20230208,52.70,20230322,51.70,42,-2.34%,"NT$-1,950",到期
2230,backup_v3,20230208,53.50,20230322,79.00,42,+47.22%,"NT$+39,340",到期
2303,backup_v3,20230208,50.50,20230322,53.50,42,+5.50%,"NT$+4,579",到期
2330,backup_v3,20230208,540.00,20230322,533.00,42,-1.74%,"NT$-1,448",到期
2351,backup_v3,20230208,123.50,20230322,126.00,42,+1.58%,"NT$+1,317",到期
6719,main,20230322,332.00,20230328,307.50,6,-7.82%,"NT$-6,502",停損
1752,backup_v3,20230426,77.70,20230511,70.20,15,-10.10%,"NT$-8,405",停損
3178,backup_v3,20230426,82.50,20230511,76.10,15,-8.20%,"NT$-6,829",停損
1720,backup_v3,20230426,68.80,20230607,78.00,42,+12.93%,"NT$+10,770",到期
2201,backup_v3,20230426,79.80,20230607,89.70,42,+11.96%,"NT$+9,962",到期
2204,backup_v3,20230426,78.50,20230607,99.30,42,+26.05%,"NT$+21,711",到期
3044,backup_v3,20230426,113.50,20230607,127.00,42,+11.45%,"NT$+9,541",到期
1580,backup_v3,20230607,134.50,20230609,124.50,2,-7.88%,"NT$-6,557",停損
8046,main,20230531,303.00,20230615,281.00,15,-7.70%,"NT$-6,404",停損
