股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因,投入資金,version,config,price,entry_date,stock,engine,fled_pct,r400_chg,ma20,ma20_gap,big_holder_chg,pnl,ret,price_tier,days_bucket
2731,backup_v4,20230809,159.5,20230811,144.0,2,-10.16%,"NT$-16,927",停損,"NT$166,596",v4,6週+3個持倉_2023年,159.5,20230809,2731,backup_v4,-6.903467908902691,0.0,161.05,-0.9624340266997896,0.0,-16927.0,-10.16,100-200,<7日
3147,backup_v4,20230809,76.0,20230824,69.3,15,-9.26%,"NT$-15,424",停損,"NT$166,601",v4,6週+3個持倉_2023年,76.0,20230809,3147,backup_v4,-10.793082886106141,0.0,76.035,-0.04603143289274227,0.0,-15424.0,-9.26,50-100,14-30日
1210,backup_v4,20230809,55.4,20230920,54.2,42,-2.61%,"NT$-4,347",到期,"NT$166,659",v4,6週+3個持倉_2023年,55.4,20230809,1210,backup_v4,-5.06505001284821,0.0,57.505,-3.660551256412493,0.0,-4347.0,-2.61,50-100,30-42日
8081,backup_v4,20230816,226.5,20230927,265.0,42,+16.56%,"NT$+27,563",到期,"NT$166,488",v4,6週+3個持倉_2023年,226.5,20230816,8081,backup_v4,-5.36972352140193,0.0,213.0,6.338028169014084,0.0,27563.0,16.56,200-300,30-42日
1477,backup_v4,20230830,334.5,20231011,353.5,42,+5.24%,"NT$+8,720",到期,"NT$166,483",v4,6週+3個持倉_2023年,334.5,20230830,1477,backup_v4,-7.2157393314166525,0.0,314.2,6.460852959898158,0.0,8720.0,5.24,300-500,30-42日
3592,main,20230920,358.5,20231101,368.0,42,+2.21%,"NT$+3,677",到期,"NT$166,581",v4,6週+3個持倉_2023年,358.5,20230920,3592,main,0.0,0.0,0.0,0.0,0.0,3677.0,2.21,300-500,30-42日
6533,main,20231101,389.5,20231213,481.0,42,+23.05%,"NT$+38,389",到期,"NT$166,554",v4,6週+3個持倉_2023年,389.5,20231101,6533,main,0.0,0.0,0.0,0.0,0.0,38389.0,23.05,300-500,30-42日
2230,backup_v4,20231108,125.0,20231220,172.5,42,+37.56%,"NT$+62,575",到期,"NT$166,612",v4,6週+3個持倉_2023年,125.0,20231108,2230,backup_v4,-14.274570982839313,0.0,118.1,5.842506350550386,0.0,62575.0,37.56,100-200,30-42日
2347,backup_v4,20231108,68.8,20231220,68.6,42,-0.73%,"NT$-1,222",到期,"NT$166,664",v4,6週+3個持倉_2023年,68.8,20231108,2347,backup_v4,-5.911713618304151,0.0,67.85,1.4001473839351555,0.0,-1222.0,-0.73,50-100,30-42日
3443,main,20221207,742.0,20221228,636.0,21,-14.73%,"NT$-24,514",停損,"NT$166,445",v4,6週+3個持倉_全週期,742.0,20221207,3443,main,0.0,0.0,0.0,0.0,0.0,-24514.0,-14.73,500+,14-30日
6472,main,20221207,400.0,20230118,402.0,42,+0.06%,NT$+96,到期,"NT$166,637",v4,6週+3個持倉_全週期,400.0,20221207,6472,main,0.0,0.0,0.0,0.0,0.0,96.0,0.06,300-500,30-42日
1477,backup_v4,20221221,240.0,20230131,218.0,41,-9.61%,"NT$-16,005",停損,"NT$166,557",v4,6週+3個持倉_全週期,240.0,20221221,1477,backup_v4,-5.958419263140293,0.0,235.325,1.9866142568787895,0.0,-16005.0,-9.61,200-300,30-42日
2207,backup_v4,20230208,642.0,20230316,595.0,36,-7.76%,"NT$-12,927",停損,"NT$166,515",v4,6週+3個持倉_全週期,642.0,20230208,2207,backup_v4,-8.575096277278563,0.0,629.7,1.9533111005240518,0.0,-12927.0,-7.76,500+,30-42日
2230,backup_v4,20230208,53.5,20230322,79.0,42,+47.22%,"NT$+78,681",到期,"NT$166,622",v4,6週+3個持倉_全週期,53.5,20230208,2230,backup_v4,-15.753424657534246,0.0,43.9125,21.833191004839165,0.0,78681.0,47.22,50-100,30-42日
6719,main,20230322,332.0,20230328,307.5,6,-7.82%,"NT$-13,029",停損,"NT$166,569",v4,6週+3個持倉_全週期,332.0,20230322,6719,main,0.0,0.0,0.0,0.0,0.0,-13029.0,-7.82,300-500,<7日
3680,main,20230329,366.0,20230421,339.0,23,-7.82%,"NT$-13,012",停損,"NT$166,401",v4,6週+3個持倉_全週期,366.0,20230329,3680,main,0.0,0.0,0.0,0.0,0.0,-13012.0,-7.82,300-500,14-30日
4763,main,20230419,480.0,20230421,435.0,2,-9.82%,"NT$-16,328",停損,"NT$166,317",v4,6週+3個持倉_全週期,480.0,20230419,4763,main,0.0,0.0,0.0,0.0,0.0,-16328.0,-9.82,300-500,<7日
3044,backup_v4,20230426,113.5,20230607,127.0,42,+11.45%,"NT$+19,082",到期,"NT$166,628",v4,6週+3個持倉_全週期,113.5,20230426,3044,backup_v4,-5.176528177201249,0.0,114.1,-0.52585451358457,0.0,19082.0,11.45,100-200,30-42日
3310,backup_v4,20230426,66.9,20230607,78.1,42,+16.30%,"NT$+27,157",到期,"NT$166,617",v4,6週+3個持倉_全週期,66.9,20230426,3310,backup_v4,-6.6277836691410394,0.0,67.2,-0.4464285714285672,0.0,27157.0,16.3,50-100,30-42日
1580,backup_v4,20230607,134.5,20230609,124.5,2,-7.88%,"NT$-13,125",停損,"NT$166,614",v4,6週+3個持倉_全週期,134.5,20230607,1580,backup_v4,-5.374177079134757,0.0,129.225,4.082027471464505,0.0,-13125.0,-7.88,100-200,<7日
2743,backup_v4,20230607,160.5,20230712,136.5,35,-15.40%,"NT$-25,636",停損,"NT$166,515",v4,6週+3個持倉_全週期,160.5,20230607,2743,backup_v4,-38.82091212458287,0.0,117.565,36.52022285544167,0.0,-25636.0,-15.4,100-200,30-42日
3008,backup_v4,20230607,2245.0,20230719,2270.0,42,+0.67%,"NT$+1,116",到期,"NT$166,367",v4,6週+3個持倉_全週期,2245.0,20230607,3008,backup_v4,-6.462847807089755,0.0,2219.5,1.1489074115791844,0.0,1116.0,0.67,500+,30-42日
2308,backup_v4,20230614,353.0,20230726,360.5,42,+1.68%,"NT$+2,801",到期,"NT$166,500",v4,6週+3個持倉_全週期,353.0,20230614,2308,backup_v4,-5.245006321112515,0.0,318.675,10.771161842002035,0.0,2801.0,1.68,300-500,30-42日
3147,backup_v4,20230809,76.0,20230824,69.3,15,-9.26%,"NT$-15,424",停損,"NT$166,601",v4,6週+3個持倉_全週期,76.0,20230809,3147,backup_v4,-10.793082886106141,0.0,76.035,-0.04603143289274227,0.0,-15424.0,-9.26,50-100,14-30日
1210,backup_v4,20230809,55.4,20230920,54.2,42,-2.61%,"NT$-4,347",到期,"NT$166,659",v4,6週+3個持倉_全週期,55.4,20230809,1210,backup_v4,-5.06505001284821,0.0,57.505,-3.660551256412493,0.0,-4347.0,-2.61,50-100,30-42日
2211,backup_v4,20230830,68.4,20231011,69.7,42,+1.46%,"NT$+2,430",到期,"NT$166,654",v4,6週+3個持倉_全週期,68.4,20230830,2211,backup_v4,-12.346055591565944,0.0,66.855,2.3109715054969735,0.0,2430.0,1.46,50-100,30-42日
3592,main,20230920,358.5,20231101,368.0,42,+2.21%,"NT$+3,677",到期,"NT$166,581",v4,6週+3個持倉_全週期,358.5,20230920,3592,main,0.0,0.0,0.0,0.0,0.0,3677.0,2.21,300-500,30-42日
6533,main,20231101,389.5,20231213,481.0,42,+23.05%,"NT$+38,389",到期,"NT$166,554",v4,6週+3個持倉_全週期,389.5,20231101,6533,main,0.0,0.0,0.0,0.0,0.0,38389.0,23.05,300-500,30-42日
2347,backup_v4,20231108,68.8,20231220,68.6,42,-0.73%,"NT$-1,222",到期,"NT$166,664",v4,6週+3個持倉_全週期,68.8,20231108,2347,backup_v4,-5.911713618304151,0.0,67.85,1.4001473839351555,0.0,-1222.0,-0.73,50-100,30-42日
1519,main,20231220,329.0,20240131,444.0,42,+34.51%,"NT$+57,422",到期,"NT$166,382",v4,6週+3個持倉_全週期,329.0,20231220,1519,main,0.0,0.0,0.0,0.0,0.0,57422.0,34.51,300-500,30-42日
6515,main,20240103,800.0,20240214,768.0,42,-4.44%,"NT$-7,403",到期,"NT$166,637",v4,6週+3個持倉_全週期,800.0,20240103,6515,main,0.0,0.0,0.0,0.0,0.0,-7403.0,-4.44,500+,30-42日
2732,backup_v4,20240131,130.5,20240215,121.0,15,-7.72%,"NT$-12,867",停損,"NT$166,625",v4,6週+3個持倉_全週期,130.5,20240131,2732,backup_v4,-7.600596125186289,0.0,130.125,0.2881844380403458,0.0,-12867.0,-7.72,100-200,14-30日
2382,backup_v4,20240110,218.0,20240221,236.0,42,+7.81%,"NT$+13,016",到期,"NT$166,571",v4,6週+3個持倉_全週期,218.0,20240110,2382,backup_v4,-6.910193923052992,0.0,212.75,2.4676850763807283,0.0,13016.0,7.81,200-300,30-42日
6462,main,20240306,293.5,20240307,265.5,1,-9.98%,"NT$-16,636",停損,"NT$166,652",v4,6週+3個持倉_全週期,293.5,20240306,6462,main,0.0,0.0,0.0,0.0,0.0,-16636.0,-9.98,200-300,<7日
1216,backup_v4,20240320,76.5,20240501,76.5,42,-0.44%,NT$-737,到期,"NT$166,625",v4,6週+3個持倉_全週期,76.5,20240320,1216,backup_v4,-5.178712175730784,0.0,76.435,0.08503957611041764,0.0,-737.0,-0.44,50-100,30-42日
2317,backup_v4,20240320,138.0,20240501,156.0,42,+12.60%,"NT$+21,001",到期,"NT$166,665",v4,6週+3個持倉_全週期,138.0,20240320,2317,backup_v4,-9.289139462061136,0.0,113.275,21.827411167512683,0.0,21001.0,12.6,100-200,30-42日
3030,backup_v4,20240320,80.5,20240501,106.0,42,+31.23%,"NT$+52,046",到期,"NT$166,631",v4,6週+3個持倉_全週期,80.5,20240320,3030,backup_v4,-6.021468342804661,0.0,75.695,6.347843318581157,0.0,52046.0,31.23,50-100,30-42日
2545,backup_v4,20240508,60.5,20240619,56.8,42,-6.56%,"NT$-10,927",到期,"NT$166,612",v4,6週+3個持倉_全週期,60.5,20240508,2545,backup_v4,-7.267120498050852,0.0,55.0025,9.995000227262402,0.0,-10927.0,-6.56,50-100,30-42日
2609,backup_v4,20240508,52.2,20240619,75.0,42,+43.24%,"NT$+72,053",到期,"NT$166,651",v4,6週+3個持倉_全週期,52.2,20240508,2609,backup_v4,-5.325497455742951,0.0,47.7825,9.24501648092922,0.0,72053.0,43.24,50-100,30-42日
3003,backup_v4,20240508,78.0,20240619,76.6,42,-2.24%,"NT$-3,728",到期,"NT$166,611",v4,6週+3個持倉_全週期,78.0,20240508,3003,backup_v4,-5.452515051466304,0.0,72.745,7.223864183105361,0.0,-3728.0,-2.24,50-100,30-42日
5904,main,20240619,529.0,20240731,514.0,42,-3.28%,"NT$-5,453",到期,"NT$166,343",v4,6週+3個持倉_全週期,529.0,20240619,5904,main,0.0,0.0,0.0,0.0,0.0,-5453.0,-3.28,500+,30-42日
6231,main,20240619,398.0,20240731,410.5,42,+2.70%,"NT$+4,495",到期,"NT$166,601",v4,6週+3個持倉_全週期,398.0,20240619,6231,main,0.0,0.0,0.0,0.0,0.0,4495.0,2.7,300-500,30-42日
1615,backup_v4,20240626,69.3,20240805,60.8,40,-12.71%,"NT$-21,175",停損,"NT$166,626",v4,6週+3個持倉_全週期,69.3,20240626,1615,backup_v4,-6.446991404011461,0.0,70.28,-1.3944223107569778,0.0,-21175.0,-12.71,50-100,30-42日
2739,backup_v4,20240731,67.5,20240805,61.7,5,-9.04%,"NT$-15,055",停損,"NT$166,625",v4,6週+3個持倉_全週期,67.5,20240731,2739,backup_v4,-17.41160773849233,0.0,65.17,3.5752646923431,0.0,-15055.0,-9.04,50-100,<7日
5519,backup_v4,20240731,55.4,20240805,49.15,5,-11.72%,"NT$-19,539",停損,"NT$166,659",v4,6週+3個持倉_全週期,55.4,20240731,5519,backup_v4,-7.215189873417721,0.0,51.2225,8.155595685489779,0.0,-19539.0,-11.72,50-100,<7日
2597,backup_v4,20240807,205.0,20240814,154.0,7,-25.32%,"NT$-42,157",停損,"NT$166,492",v4,6週+3個持倉_全週期,205.0,20240807,2597,backup_v4,-5.515565952852258,0.0,202.725,1.1222098902454092,0.0,-42157.0,-25.32,200-300,<7日
2363,backup_v4,20240807,70.6,20240904,62.4,28,-12.06%,"NT$-20,092",停損,"NT$166,641",v4,6週+3個持倉_全週期,70.6,20240807,2363,backup_v4,-15.138244419428352,0.0,64.1,10.14040561622465,0.0,-20092.0,-12.06,50-100,14-30日
2548,backup_v4,20240807,145.0,20240910,133.5,34,-8.37%,"NT$-13,946",停損,"NT$166,552",v4,6週+3個持倉_全週期,145.0,20240807,2548,backup_v4,-9.683570704963948,0.0,158.0,-8.227848101265822,0.0,-13946.0,-8.37,100-200,30-42日
2250,backup_v4,20240814,94.4,20240925,106.5,42,+12.38%,"NT$+20,625",到期,"NT$166,664",v4,6週+3個持倉_全週期,94.4,20240814,2250,backup_v4,-5.30579181855002,0.0,92.395,2.1700308458250013,0.0,20625.0,12.38,50-100,30-42日
1472,backup_v4,20240904,59.3,20241016,60.5,42,+1.58%,"NT$+2,635",到期,"NT$166,633",v4,6週+3個持倉_全週期,59.3,20240904,1472,backup_v4,-12.7838519764508,0.0,57.285,3.5175002182072106,0.0,2635.0,1.58,50-100,30-42日
3081,backup_v4,20240911,192.5,20241023,362.0,42,+87.61%,"NT$+145,920",到期,"NT$166,557",v4,6週+3個持倉_全週期,192.5,20240911,3081,backup_v4,-20.543543379990197,0.0,157.375,22.319301032565527,0.0,145920.0,87.61,100-200,30-42日
2397,backup_v4,20241030,86.3,20241108,79.8,9,-7.97%,"NT$-13,287",停損,"NT$166,624",v4,6週+3個持倉_全週期,86.3,20241030,2397,backup_v4,-7.9340046099720976,0.0,79.165,9.012821322554148,0.0,-13287.0,-7.97,50-100,7-14日
2354,backup_v4,20241030,80.6,20241211,83.8,42,+3.53%,"NT$+5,877",到期,"NT$166,595",v4,6週+3個持倉_全週期,80.6,20241030,2354,backup_v4,-6.437897754522479,0.0,68.45,17.750182615047468,0.0,5877.0,3.53,50-100,30-42日
4961,backup_v4,20241030,247.5,20241211,236.0,42,-5.09%,"NT$-8,476",到期,"NT$166,557",v4,6週+3個持倉_全週期,247.5,20241030,4961,backup_v4,-5.064893953782843,0.0,271.5,-8.83977900552486,0.0,-8476.0,-5.09,200-300,30-42日
3563,main,20250312,569.0,20250327,523.0,15,-8.53%,"NT$-14,187",停損,"NT$166,385",v4,6週+3個持倉_全週期,569.0,20250312,3563,main,0.0,0.0,0.0,0.0,0.0,-14187.0,-8.53,500+,14-30日
6643,main,20250312,690.0,20250331,582.0,19,-16.09%,"NT$-26,802",停損,"NT$166,527",v4,6週+3個持倉_全週期,690.0,20250312,6643,main,0.0,0.0,0.0,0.0,0.0,-26802.0,-16.09,500+,14-30日
7722,main,20250326,724.0,20250331,630.0,5,-13.43%,"NT$-22,291",停損,"NT$166,032",v4,6週+3個持倉_全週期,724.0,20250326,7722,main,0.0,0.0,0.0,0.0,0.0,-22291.0,-13.43,500+,<7日
2753,backup_v4,20250416,191.0,20250422,176.0,6,-8.30%,"NT$-13,821",停損,"NT$166,598",v4,6週+3個持倉_全週期,191.0,20250416,2753,backup_v4,-7.240806150010388,0.0,175.4,8.8939566704675,0.0,-13821.0,-8.3,100-200,<7日
6023,backup_v4,20250416,80.6,20250528,83.6,42,+3.28%,"NT$+5,464",到期,"NT$166,595",v4,6週+3個持倉_全週期,80.6,20250416,6023,backup_v4,-8.583716623857596,0.0,80.82,-0.27220984904726414,0.0,5464.0,3.28,50-100,30-42日
6680,backup_v4,20250430,79.3,20250529,0.0,29,-100.44%,"NT$-167,346",停損,"NT$166,608",v4,6週+3個持倉_全週期,79.3,20250430,6680,backup_v4,-6.480648064806481,0.0,75.625,4.859504132231401,0.0,-167346.0,-100.44,50-100,14-30日
4571,backup_v4,20250430,151.5,20250611,160.5,42,+5.50%,"NT$+9,159",到期,"NT$166,584",v4,6週+3個持倉_全週期,151.5,20250430,4571,backup_v4,-5.872756933115824,0.0,142.575,6.259863229879019,0.0,9159.0,5.5,100-200,30-42日
4749,main,20250618,657.0,20250704,596.0,16,-9.73%,"NT$-16,192",停損,"NT$166,458",v4,6週+3個持倉_全週期,657.0,20250618,4749,main,0.0,0.0,0.0,0.0,0.0,-16192.0,-9.73,500+,14-30日
