股票,引擎,進場日期,進場價格,出場日期,出場價格,交易日數,日曆天數,收益率%,收益金額,出場原因,投入資金
3443,main,20221209,794.00,20221222,730.00,9,13,-8.50%,"NT$-7,031",停損,"NT$82,694"
6472,main,20221209,394.50,20230505,832.00,90,147,+110.46%,"NT$+91,639",到期,"NT$82,963"
2731,backup,20221223,102.50,20230519,183.50,90,147,+78.58%,"NT$+65,416",到期,"NT$83,246"
6515,backup,20221223,404.00,20230519,720.00,90,147,+77.78%,"NT$+64,505",到期,"NT$82,938"
8046,main,20230602,308.00,20230608,282.00,4,6,-8.88%,"NT$-7,399",停損,"NT$83,279"
5284,backup,20230203,80.70,20230619,146.00,90,136,+80.47%,"NT$+67,052",到期,"NT$83,320"
8478,backup,20230203,336.50,20230619,573.00,90,136,+69.84%,"NT$+58,130",到期,"NT$83,234"
1795,main,20230526,327.00,20230703,299.00,24,38,-9.01%,"NT$-7,490",停損,"NT$83,176"
2743,backup,20230609,162.50,20230712,136.50,21,33,-16.44%,"NT$-13,700",停損,"NT$83,319"
6279,backup,20230627,165.00,20230724,153.00,19,27,-7.72%,"NT$-6,425",停損,"NT$83,279"
4551,backup,20230714,144.00,20230808,133.00,16,25,-8.08%,"NT$-6,724",停損,"NT$83,206"
3178,backup,20230609,95.80,20230810,88.40,41,62,-8.17%,"NT$-6,801",停損,"NT$83,273"
1519,backup,20230811,211.50,20230814,192.50,1,3,-9.43%,"NT$-7,846",停損,"NT$83,238"
6829,backup,20230901,154.00,20230905,143.00,2,4,-7.59%,"NT$-6,317",停損,"NT$83,279"
2645,backup,20230901,129.50,20230912,117.00,7,11,-10.10%,"NT$-8,405",停損,"NT$83,257"
2368,backup,20230908,208.50,20230918,193.00,6,10,-7.88%,"NT$-6,562",停損,"NT$83,310"
4572,backup,20230627,172.50,20230920,160.00,60,85,-7.69%,"NT$-6,402",停損,"NT$83,263"
3583,backup,20230609,150.00,20231023,195.50,90,136,+29.89%,"NT$+24,875",到期,"NT$83,218"
3035,backup,20230707,244.50,20231116,319.50,90,132,+30.23%,"NT$+25,168",到期,"NT$83,248"
3661,main,20231117,3230.00,20231127,2950.00,6,10,-9.11%,"NT$-7,368",停損,"NT$80,865"
4967,backup,20231110,87.10,20240104,79.00,38,55,-9.74%,"NT$-8,115",停損,"NT$83,299"
5439,backup,20231110,122.50,20240104,109.50,38,55,-11.05%,"NT$-9,208",停損,"NT$83,296"
3324,main,20231201,356.50,20240105,323.00,24,35,-9.84%,"NT$-8,185",停損,"NT$83,183"
3592,main,20230922,368.00,20240201,377.00,90,132,+2.00%,"NT$+1,668",到期,"NT$83,287"
8016,main,20230922,285.00,20240201,271.50,90,132,-5.18%,"NT$-4,302",到期,"NT$83,053"
8210,main,20240126,286.50,20240219,266.00,9,24,-7.60%,"NT$-6,322",停損,"NT$83,203"
3694,backup,20240202,56.60,20240223,51.70,8,21,-9.10%,"NT$-7,582",停損,"NT$83,321"
6290,backup,20240304,93.20,20240311,86.60,5,7,-7.52%,"NT$-6,264",停損,"NT$83,253"
2376,main,20240221,347.50,20240314,317.50,15,22,-9.08%,"NT$-7,548",停損,"NT$83,171"
6533,main,20231103,398.00,20240321,439.00,90,139,+9.86%,"NT$+8,213",到期,"NT$83,301"
3083,backup,20240329,51.90,20240416,48.10,10,18,-7.76%,"NT$-6,469",停損,"NT$83,314"
2404,main,20240426,408.00,20240510,375.00,9,14,-8.53%,"NT$-7,076",停損,"NT$82,942"
2739,backup,20240510,69.40,20240514,63.40,2,4,-9.09%,"NT$-7,573",停損,"NT$83,329"
3017,main,20240119,346.00,20240611,665.00,90,144,+91.75%,"NT$+76,301",到期,"NT$83,158"
3265,backup,20240202,120.50,20240625,135.50,90,144,+12.01%,"NT$+9,996",到期,"NT$83,263"
1319,backup,20240202,83.00,20240626,113.00,91,145,+35.70%,"NT$+29,734",到期,"NT$83,285"
4915,backup,20240322,84.50,20240805,84.00,90,136,-1.03%,NT$-861,到期,"NT$83,266"
3413,main,20240517,307.00,20240805,271.00,53,80,-12.17%,"NT$-10,139",停損,"NT$83,316"
3013,backup,20240329,61.30,20240812,103.50,90,136,+68.40%,"NT$+56,978",到期,"NT$83,303"
6446,main,20240823,687.00,20240926,635.00,23,34,-8.01%,"NT$-6,669",停損,"NT$83,245"
6187,main,20241008,525.00,20241014,477.50,3,6,-9.49%,"NT$-7,883",停損,"NT$83,068"
5904,main,20240621,500.00,20241105,491.00,90,137,-2.24%,"NT$-1,864",到期,"NT$83,118"
3163,backup,20240628,137.00,20241112,136.00,90,137,-1.17%,NT$-976,到期,"NT$83,278"
3374,backup,20240628,180.00,20241112,215.00,90,137,+19.00%,"NT$+15,825",到期,"NT$83,279"
3081,backup,20240913,209.00,20250207,490.00,91,147,+134.01%,"NT$+111,629",到期,"NT$83,301"
4542,backup,20240913,82.50,20250207,84.00,91,147,+1.38%,"NT$+1,146",到期,"NT$83,279"
6223,main,20241227,925.00,20250207,849.00,21,42,-8.66%,"NT$-7,138",停損,"NT$82,442"
3376,backup,20250221,287.00,20250306,265.00,8,13,-8.11%,"NT$-6,735",停損,"NT$83,061"
3363,main,20250117,332.00,20250307,302.50,27,49,-9.33%,"NT$-7,753",停損,"NT$83,118"
3563,main,20250314,565.00,20250327,523.00,9,13,-7.88%,"NT$-6,551",停損,"NT$83,173"
6643,main,20250307,707.00,20250328,646.00,15,21,-9.07%,"NT$-7,514",停損,"NT$82,837"
2383,main,20241213,599.00,20250331,545.00,66,108,-9.46%,"NT$-7,829",停損,"NT$82,780"
7722,main,20250328,685.00,20250331,630.00,1,3,-8.47%,"NT$-7,032",停損,"NT$83,003"
3147,backup,20250505,284.00,20250512,252.00,5,7,-11.71%,"NT$-9,758",停損,"NT$83,331"
3491,main,20241220,316.00,20250514,357.00,90,145,+12.53%,"NT$+10,430",到期,"NT$83,226"
2745,backup,20250516,128.00,20250606,117.50,14,21,-8.65%,"NT$-7,203",停損,"NT$83,319"
2615,backup,20250602,110.00,20250606,101.50,4,4,-8.17%,"NT$-6,804",停損,"NT$83,279"
4749,main,20250620,635.00,20250707,588.00,11,17,-7.84%,"NT$-6,534",停損,"NT$83,304"
3131,main,20250718,1650.00,20250724,1530.00,4,6,-7.72%,"NT$-6,374",停損,"NT$82,618"
1560,main,20250725,350.00,20250731,325.50,4,6,-7.44%,"NT$-6,182",停損,"NT$83,068"
6597,backup,20250606,73.50,20250820,66.10,53,75,-10.51%,"NT$-8,757",停損,"NT$83,321"
6669,backup,20250516,2380.00,20250922,3125.00,90,129,+30.86%,"NT$+25,008",到期,"NT$81,035"
6510,main,20250523,831.00,20250930,1925.00,90,130,+131.21%,"NT$+109,188",到期,"NT$83,218"
6191,backup,20250602,80.90,20251008,120.00,90,128,+47.89%,"NT$+39,884",到期,"NT$83,284"
3709,backup,20251017,50.00,20251029,44.50,7,12,-11.44%,"NT$-9,534",停損,"NT$83,319"
6805,main,20250627,811.00,20251106,1460.00,90,132,+79.58%,"NT$+65,926",到期,"NT$82,840"
3450,backup,20251014,241.00,20251118,224.00,24,35,-7.50%,"NT$-6,242",停損,"NT$83,263"
3211,main,20260105,312.50,20260115,290.50,8,10,-7.48%,"NT$-6,229",停損,"NT$83,243"
6548,backup,20260130,58.00,20260203,53.20,2,4,-8.72%,"NT$-7,262",停損,"NT$83,291"
