code,entry_date,exit_date,entry_price,exit_price,pnl,pnl_pct,reason,type,hold_days
6472,20221205,20221206,464.0,418.0,-46.0,-9.913793103448276,停損,main,1
3443,20221205,20221226,761.0,698.0,-63.0,-8.278580814717477,停損,main,21
3443,20221212,20221226,762.0,698.0,-64.0,-8.398950131233596,停損,main,14
2731,20221222,20230322,101.5,124.5,23.0,22.660098522167488,到期,backup,90
3558,20230323,20230413,347.0,310.0,-37.0,-10.662824207492795,停損,backup,21
2388,20230414,20230425,82.2,73.5,-8.700000000000003,-10.58394160583942,停損,backup,11
8478,20230202,20230503,336.5,521.0,184.5,54.82912332838039,到期,backup,90
5258,20230209,20230510,80.2,86.5,6.299999999999997,7.855361596009971,到期,backup,90
1752,20230427,20230511,78.7,70.2,-8.5,-10.800508259212197,停損,backup,14
1795,20230518,20230608,339.0,311.0,-28.0,-8.259587020648967,停損,backup,21
1795,20230522,20230621,332.0,308.0,-24.0,-7.228915662650602,停損,main,30
2743,20230609,20230712,162.5,136.5,-26.0,-16.0,停損,backup,33
4747,20230626,20230801,110.5,98.6,-11.900000000000006,-10.769230769230774,停損,backup,36
4747,20230713,20230801,111.5,98.6,-12.900000000000006,-11.569506726457405,停損,backup,19
3693,20230505,20230804,180.0,402.5,222.5,123.61111111111111,到期,backup,91
2748,20230802,20230807,91.0,83.1,-7.900000000000006,-8.681318681318688,停損,backup,5
4763,20230807,20230809,907.0,833.0,-74.0,-8.158765159867695,停損,backup,2
4763,20230802,20230810,841.0,750.0,-91.0,-10.820451843043994,停損,backup,8
4572,20230810,20230907,195.5,181.5,-14.0,-7.161125319693094,停損,backup,28
4572,20230817,20230911,194.0,176.5,-17.5,-9.02061855670103,停損,backup,25
4572,20230824,20230911,190.0,176.5,-13.5,-7.105263157894736,停損,backup,18
2645,20230908,20230912,127.5,117.0,-10.5,-8.235294117647058,停損,backup,4
6829,20230912,20230918,130.0,117.0,-13.0,-10.0,停損,backup,6
6829,20230914,20230918,129.5,117.0,-12.5,-9.652509652509652,停損,backup,4
8016,20230918,20231012,293.0,272.0,-21.0,-7.167235494880546,停損,main,24
3592,20230919,20231218,370.0,396.5,26.5,7.162162162162162,到期,main,90
3592,20230925,20231225,369.0,388.5,19.5,5.284552845528456,到期,main,91
5439,20231219,20240104,120.0,109.5,-10.5,-8.75,停損,backup,16
3592,20231013,20240111,365.0,404.0,39.0,10.684931506849315,到期,main,90
3035,20240115,20240221,411.5,380.0,-31.5,-7.654921020656136,停損,main,37
6451,20240222,20240301,224.0,208.0,-16.0,-7.142857142857142,停損,backup,8
1519,20231226,20240325,315.0,785.0,470.0,149.20634920634922,到期,backup,90
5284,20240304,20240402,202.5,172.5,-30.0,-14.814814814814813,停損,backup,29
6546,20240105,20240408,113.5,133.5,20.0,17.62114537444934,到期,backup,94
