code,entry_date,exit_date,entry_price,exit_price,pnl,pnl_pct,reason,type,hold_days
6472,20221205,20221206,464.0,418.0,-46.0,-9.913793103448276,停損,main,1
3443,20221205,20221226,761.0,698.0,-63.0,-8.278580814717474,停損,main,21
3443,20221212,20221226,762.0,698.0,-64.0,-8.398950131233596,停損,main,14
2731,20221222,20230202,101.5,105.0,3.5,3.4482758620689724,到期,backup,42
6533,20230206,20230320,538.0,561.0,23.0,4.275092936802971,到期,main,42
3558,20230216,20230330,282.5,342.0,59.5,21.06194690265486,到期,backup,42
3558,20230223,20230406,295.0,339.5,44.5,15.08474576271186,到期,backup,42
6472,20230301,20230412,514.0,788.0,274.0,53.30739299610896,到期,main,42
2727,20230331,20230412,311.5,289.0,-22.5,-7.223113964687,停損,main,12
6472,20230413,20230421,778.0,711.0,-67.0,-8.611825192802058,停損,main,8
6472,20230321,20230502,541.0,758.0,217.0,40.11090573012939,到期,main,42
2727,20230407,20230519,297.0,313.0,16.0,5.387205387205385,到期,main,42
3675,20230413,20230525,288.0,340.0,52.0,18.055555555555557,到期,main,42
6472,20230424,20230605,725.0,762.0,37.0,5.103448275862066,到期,main,42
3675,20230529,20230608,335.0,298.0,-37.0,-11.044776119402988,停損,main,10
3675,20230606,20230612,317.0,293.0,-24.0,-7.57097791798107,停損,main,6
3675,20230503,20230614,303.0,280.5,-22.5,-7.425742574257422,停損,main,42
2727,20230615,20230630,344.5,318.5,-26.0,-7.547169811320753,停損,main,15
2727,20230522,20230703,318.0,316.0,-2.0,-0.6289308176100628,到期,main,42
8299,20230609,20230707,421.0,389.0,-32.0,-7.600950118764849,停損,main,28
3675,20230613,20230725,288.0,278.0,-10.0,-3.472222222222221,到期,main,42
3665,20230703,20230725,325.5,301.5,-24.0,-7.3732718894009235,停損,main,22
3035,20230726,20230801,340.0,312.0,-28.0,-8.235294117647063,停損,main,6
2376,20230727,20230802,332.0,297.0,-35.0,-10.542168674698793,停損,main,6
8299,20230704,20230809,408.5,379.0,-29.5,-7.221542227662181,停損,main,36
