股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因
2615,backup,20250602,110.00,20250606,101.50,4,-8.17%,"NT$-13,607",停損
2615,backup,20250606,101.50,20250626,93.50,20,-8.32%,"NT$-13,868",停損
6510,main,20250522,814.00,20250703,830.00,42,+1.52%,"NT$+2,533",到期
6919,main,20250703,1330.00,20250708,1165.00,5,-12.85%,"NT$-21,391",停損
3131,main,20250718,1650.00,20250724,1530.00,6,-7.72%,"NT$-12,748",停損
3131,main,20250725,1540.00,20250804,1415.00,10,-8.56%,"NT$-14,256",停損
6805,main,20250704,791.00,20250815,1060.00,42,+33.57%,"NT$+55,834",到期
3131,main,20250805,1390.00,20250916,1370.00,42,-1.88%,"NT$-3,116",到期
3406,main,20250821,440.50,20251002,425.50,42,-3.85%,"NT$-6,399",到期
6510,main,20250917,1390.00,20251003,1785.00,16,+27.97%,"NT$+46,339",停利
7747,backup,20251007,141.50,20251029,131.50,22,-7.51%,"NT$-12,514",停損
6515,backup,20251007,2125.00,20251105,2415.00,29,+13.20%,"NT$+21,918",停利
6805,backup,20251107,1400.00,20251219,1545.00,42,+9.91%,"NT$+16,402",到期
6274,main,20251119,388.00,20251231,494.00,42,+26.88%,"NT$+44,697",到期
