股票,引擎,進場日期,進場價格,出場日期,出場價格,持倉天數,收益率%,收益金額,出場原因,投入資金
6205,backup,20230210,84.60,20230410,77.80,59,-8.48%,"NT$-7,062",停損,"NT$83,280"
4919,backup,20230210,147.50,20230425,130.00,74,-12.31%,"NT$-10,253",停損,"NT$83,309"
3558,backup,20230210,254.50,20230511,269.50,90,+5.45%,"NT$+4,529",到期,"NT$83,085"
3675,backup,20230210,248.50,20230511,296.50,90,+18.87%,"NT$+15,687",到期,"NT$83,117"
5258,backup,20230210,76.80,20230511,80.90,90,+4.90%,"NT$+4,078",到期,"NT$83,293"
1752,backup,20230428,80.60,20230511,70.20,13,-13.35%,"NT$-11,117",停損,"NT$83,298"
6472,main,20230224,503.00,20230525,762.00,90,+51.05%,"NT$+42,428",到期,"NT$83,113"
8046,main,20230602,308.00,20230608,282.00,6,-8.88%,"NT$-7,399",停損,"NT$83,279"
5243,backup,20230609,85.50,20230627,79.00,18,-8.04%,"NT$-6,702",停損,"NT$83,310"
1795,main,20230526,327.00,20230703,299.00,38,-9.01%,"NT$-7,490",停損,"NT$83,176"
2743,backup,20230609,162.50,20230712,136.50,33,-16.44%,"NT$-13,700",停損,"NT$83,319"
4551,backup,20230714,144.00,20230808,133.00,25,-8.08%,"NT$-6,724",停損,"NT$83,206"
3178,backup,20230609,95.80,20230810,88.40,62,-8.17%,"NT$-6,801",停損,"NT$83,273"
1519,backup,20230811,211.50,20230814,192.50,3,-9.43%,"NT$-7,846",停損,"NT$83,238"
3583,backup,20230609,150.00,20230907,219.00,90,+45.56%,"NT$+37,912",到期,"NT$83,218"
4979,backup,20230609,76.40,20230907,163.50,90,+113.56%,"NT$+94,618",到期,"NT$83,318"
2645,backup,20230901,129.50,20230912,117.00,11,-10.10%,"NT$-8,405",停損,"NT$83,257"
2368,backup,20230908,208.50,20230918,193.00,10,-7.88%,"NT$-6,562",停損,"NT$83,310"
4572,backup,20230627,172.50,20230920,160.00,85,-7.69%,"NT$-6,402",停損,"NT$83,263"
3035,backup,20230707,244.50,20231005,321.00,90,+30.85%,"NT$+25,679",到期,"NT$83,248"
3661,main,20231117,3230.00,20231127,2950.00,10,-9.11%,"NT$-7,368",停損,"NT$80,865"
3592,main,20230922,368.00,20231221,393.00,90,+6.35%,"NT$+5,290",到期,"NT$83,287"
8016,main,20230922,285.00,20231221,276.00,90,-3.60%,"NT$-2,990",到期,"NT$83,053"
