股票,引擎,進場日期,進場價格,出場日期,出場價格,持倉天數,收益率%,收益金額,出場原因,投入資金
8147,backup,20240730,131.50,20240805,116.50,6,-11.85%,"NT$-19,739",停損,"NT$166,585"
6446,main,20240823,687.00,20240829,710.00,6,+2.91%,"NT$+4,837",到期,"NT$166,491"
3081,backup,20240913,209.00,20240919,235.50,6,+12.24%,"NT$+20,387",到期,"NT$166,601"
4542,backup,20240913,82.50,20240919,96.60,6,+16.65%,"NT$+27,743",到期,"NT$166,640"
5234,backup,20240923,235.00,20240930,240.50,7,+1.90%,"NT$+3,162",到期,"NT$166,617"
6546,backup,20240923,215.00,20240930,205.00,7,-5.09%,"NT$-8,488",到期,"NT$166,647"
6187,main,20241008,525.00,20241014,477.50,6,-9.49%,"NT$-15,816",停損,"NT$166,662"
2383,main,20241213,599.00,20241219,617.00,6,+2.56%,"NT$+4,258",到期,"NT$166,159"
3491,main,20241220,316.00,20241226,326.00,6,+2.72%,"NT$+4,531",到期,"NT$166,453"
6223,main,20241227,925.00,20250103,894.00,7,-3.79%,"NT$-6,291",到期,"NT$165,811"
3363,main,20250117,332.00,20250207,335.00,21,+0.46%,NT$+768,到期,"NT$166,569"
6691,main,20250117,479.00,20250207,459.50,21,-4.51%,"NT$-7,513",到期,"NT$166,450"
8299,main,20250117,465.50,20250207,488.50,21,+4.50%,"NT$+7,486",到期,"NT$166,420"
3376,backup,20250221,287.00,20250227,277.00,6,-3.93%,"NT$-6,535",到期,"NT$166,410"
6643,main,20250307,707.00,20250313,716.00,6,+0.83%,"NT$+1,382",到期,"NT$166,382"
3563,main,20250314,565.00,20250320,585.00,6,+3.10%,"NT$+5,152",到期,"NT$166,347"
7722,main,20250328,685.00,20250331,630.00,3,-8.47%,"NT$-14,064",停損,"NT$166,006"
3147,backup,20250505,284.00,20250512,252.00,7,-11.71%,"NT$-19,516",停損,"NT$166,661"
2745,backup,20250516,128.00,20250522,136.00,6,+5.81%,"NT$+9,677",到期,"NT$166,637"
6669,backup,20250516,2380.00,20250522,2340.00,6,-2.12%,"NT$-3,492",到期,"NT$164,454"
6510,main,20250523,831.00,20250529,890.00,6,+6.66%,"NT$+11,080",到期,"NT$166,437"
2615,backup,20250602,110.00,20250606,101.50,4,-8.17%,"NT$-13,607",停損,"NT$166,557"
6191,backup,20250602,80.90,20250609,78.80,7,-3.04%,"NT$-5,063",到期,"NT$166,648"
6597,backup,20250606,73.50,20250612,69.10,6,-6.43%,"NT$-10,713",到期,"NT$166,641"
4749,main,20250620,635.00,20250626,654.00,6,+2.55%,"NT$+4,248",到期,"NT$166,607"
6805,main,20250627,811.00,20250703,801.00,6,-1.68%,"NT$-2,790",到期,"NT$166,492"
6919,main,20250704,1325.00,20250708,1165.00,4,-12.52%,"NT$-20,762",停損,"NT$165,861"
6139,main,20250704,298.50,20250710,306.00,6,+2.07%,"NT$+3,447",到期,"NT$166,501"
3131,main,20250718,1650.00,20250724,1530.00,6,-7.72%,"NT$-12,748",停損,"NT$165,235"
1560,main,20250725,350.00,20250731,325.50,6,-7.44%,"NT$-12,391",停損,"NT$166,487"
5536,main,20250725,510.00,20250731,490.00,6,-4.36%,"NT$-7,266",到期,"NT$166,497"
3450,backup,20251014,241.00,20251020,272.00,6,+12.42%,"NT$+20,684",到期,"NT$166,527"
3709,backup,20251017,50.00,20251023,50.40,6,+0.36%,NT$+596,到期,"NT$166,637"
6274,main,20251114,397.50,20251120,416.00,6,+4.21%,"NT$+7,008",到期,"NT$166,392"
6442,main,20251205,1185.00,20251211,1260.00,6,+5.89%,"NT$+9,780",到期,"NT$166,136"
3211,main,20260105,312.50,20260112,298.00,7,-5.08%,"NT$-8,462",到期,"NT$166,487"
6548,backup,20260130,58.00,20260203,53.20,4,-8.72%,"NT$-14,528",停損,"NT$166,639"
2481,backup,20260130,90.40,20260205,92.40,6,+1.77%,"NT$+2,950",到期,"NT$166,664"
