engine,stock,buy_date,entry_price,exit_date,exit_price,weeks_held,gross_return_pct,net_return_pct,pnl_twd,exit_reason
backup,1795,20221214,255.0,20221221,237.14999999999998,1,-10.392156862745098,-7.4425,-6196,stop_loss
main,3443,20221207,742.0,20221228,690.06,3,-14.285714285714285,-7.4425,-6194,stop_loss
main,6472,20221207,400.0,20230208,514.0,9,28.499999999999996,28.057499999999997,23377,hold_period
backup,4763,20221214,177.0,20230208,299.5,8,69.2090395480226,68.7665395480226,57288,hold_period
backup,2731,20221221,98.8,20230208,114.5,7,15.890688259109314,15.448188259109314,12870,hold_period
backup,6515,20221221,412.0,20230208,526.0,7,27.669902912621357,27.227402912621358,22580,hold_period
backup,6205,20230222,96.0,20230315,89.28,3,-13.22916666666667,-7.4425,-6196,stop_loss
backup,3558,20230208,261.0,20230322,348.0,6,33.33333333333333,32.890833333333326,27338,hold_period
backup,3675,20230208,245.5,20230322,308.0,6,25.45824847250509,25.01574847250509,20787,hold_period
backup,4919,20230215,145.0,20230329,143.0,6,-1.3793103448275863,-1.8218103448275862,-1516,hold_period
backup,5425,20230215,88.0,20230329,101.0,6,14.772727272727273,14.330227272727273,11934,trailing_stop
backup,2388,20230315,89.6,20230329,83.32799999999999,2,-7.031249999999997,-7.4425,-6197,stop_loss
main,6472,20230222,493.0,20230412,788.0,7,59.83772819472617,59.395228194726165,49264,hold_period
backup,8478,20230329,512.0,20230419,476.15999999999997,3,-11.5234375,-7.4425,-6182,stop_loss
main,6719,20230322,332.0,20230503,315.0,6,-5.120481927710843,-5.562981927710843,-4624,hold_period
main,3680,20230329,366.0,20230510,343.0,6,-6.284153005464481,-6.726653005464481,-5597,hold_period
backup,1752,20230419,81.0,20230517,75.33,4,-14.567901234567898,-7.4425,-6200,stop_loss
main,4763,20230412,436.5,20230524,563.0,6,28.980526918671252,28.538026918671253,23702,hold_period
backup,2368,20230412,102.5,20230524,111.5,6,8.780487804878048,8.337987804878047,6941,hold_period
backup,2731,20230419,181.0,20230531,179.0,6,-1.1049723756906076,-1.5474723756906075,-1287,hold_period
backup,3693,20230503,185.0,20230614,246.0,6,32.972972972972975,32.53047297297297,27060,hold_period
main,1795,20230517,308.5,20230705,294.5,7,-4.538087520259319,-4.980587520259319,-4139,hold_period
backup,3037,20230517,165.0,20230705,178.0,7,7.878787878787878,7.436287878787878,6193,hold_period
backup,1519,20230524,139.0,20230705,146.0,6,5.0359712230215825,4.593471223021583,3824,trailing_stop
backup,2743,20230524,116.0,20230705,172.5,6,48.706896551724135,48.26439655172413,40200,hold_period
backup,2376,20230531,186.5,20230712,304.0,6,63.00268096514745,62.560180965147445,52111,hold_period
backup,3178,20230614,102.0,20230719,94.86,5,-12.549019607843134,-7.4425,-6196,stop_loss
backup,3680,20230705,413.5,20230726,384.55499999999995,3,-15.598548972188633,-7.4425,-6195,stop_loss
backup,3035,20230705,255.5,20230802,281.0,4,9.980430528375733,9.537930528375732,7931,trailing_stop
backup,4551,20230712,146.5,20230802,136.245,3,-7.508532423208192,-7.4425,-6202,stop_loss
backup,8155,20230719,180.0,20230802,167.39999999999998,2,-18.88888888888889,-7.4425,-6198,stop_loss
backup,1560,20230726,149.0,20230802,138.57,1,-11.74496644295302,-7.4425,-6197,stop_loss
backup,4763,20230712,722.0,20230816,771.0,5,6.786703601108034,6.344203601108034,5275,trailing_stop
backup,1519,20230719,194.5,20230830,293.0,6,50.6426735218509,50.2001735218509,41751,hold_period
backup,1560,20230802,131.5,20230913,138.5,6,5.323193916349809,4.880693916349809,4062,hold_period
backup,2388,20230802,113.5,20230913,105.55499999999999,6,-11.013215859030836,-7.4425,-6201,stop_loss
backup,4572,20230809,196.0,20230913,182.28,5,-12.755102040816327,-7.4425,-6194,stop_loss
backup,2645,20230830,130.0,20230913,120.89999999999999,2,-10.384615384615385,-7.4425,-6201,stop_loss
backup,6829,20230830,150.0,20230913,139.5,2,-13.0,-7.4425,-6194,stop_loss
backup,2368,20230906,216.5,20230913,201.345,1,-10.392609699769054,-7.4425,-6196,stop_loss
backup,6829,20230913,130.5,20230920,121.365,1,-12.260536398467432,-7.4425,-6196,stop_loss
backup,5321,20230927,130.0,20231003,120.89999999999999,1,-11.153846153846155,-7.4425,-6201,stop_loss
backup,5321,20231003,115.5,20231011,107.41499999999999,1,-16.883116883116884,-7.4425,-6198,stop_loss
backup,3217,20230920,130.5,20231018,121.365,4,-8.045977011494253,-7.4425,-6196,stop_loss
main,3592,20230920,358.5,20231101,368.0,6,2.6499302649930265,2.2074302649930266,1839,hold_period
main,2059,20231018,809.0,20231101,752.37,2,-15.451174289245984,-7.4425,-6150,stop_loss
backup,8227,20231025,211.5,20231101,196.695,1,-8.983451536643026,-7.4425,-6195,stop_loss
backup,6531,20231003,387.5,20231115,444.0,6,14.580645161290324,14.138145161290323,11741,hold_period
backup,4961,20231011,266.5,20231122,273.5,6,2.6266416510318953,2.1841416510318954,1819,hold_period
backup,1560,20231018,160.5,20231129,186.0,6,15.887850467289718,15.445350467289717,12859,hold_period
backup,5439,20231101,110.5,20231213,130.5,6,18.099547511312217,17.657047511312218,14713,trailing_stop
backup,8227,20231101,192.5,20231213,284.0,6,47.53246753246753,47.089967532467526,39216,hold_period
backup,4967,20231108,92.3,20231220,85.839,6,-7.367280606717223,-7.4425,-6198,stop_loss
backup,1519,20231213,355.5,20231220,330.61499999999995,1,-7.454289732770746,-7.4425,-6200,stop_loss
main,3661,20231115,3105.0,20231227,3305.0,6,6.44122383252818,5.99872383252818,4850,hold_period
main,6531,20231122,452.5,20240103,472.0,6,4.30939226519337,3.8668922651933704,3207,hold_period
main,3324,20231129,363.0,20240103,337.59,5,-7.024793388429752,-7.4425,-6196,stop_loss
backup,3362,20231213,181.5,20240110,168.795,4,-9.641873278236915,-7.4425,-6196,stop_loss
backup,3675,20231227,276.5,20240117,257.145,3,-7.414104882459313,-7.4425,-6182,stop_loss
main,1519,20231220,329.0,20240131,444.0,6,34.954407294832826,34.511907294832824,28654,hold_period
backup,3265,20231220,94.3,20240131,122.0,6,29.37433722163309,28.931837221633092,24098,hold_period
main,8210,20240124,303.0,20240131,281.78999999999996,1,-7.590759075907591,-7.4425,-6188,stop_loss
main,6515,20240103,800.0,20240221,771.0,7,-3.6249999999999996,-4.0675,-3389,hold_period
main,3035,20240117,428.0,20240221,398.03999999999996,5,-11.214953271028037,-7.4425,-6188,stop_loss
main,3017,20240117,343.5,20240306,630.0,7,83.4061135371179,82.96361353711791,69063,hold_period
backup,1319,20240131,85.3,20240313,113.0,6,32.4736225087925,32.0311225087925,26677,hold_period
backup,3265,20240131,122.0,20240313,129.0,6,5.737704918032787,5.295204918032787,4412,hold_period
backup,3147,20240306,159.5,20240313,148.33499999999998,1,-21.316614420062695,-7.4425,-6193,stop_loss
main,2376,20240221,347.5,20240320,323.17499999999995,4,-15.107913669064748,-7.4425,-6190,stop_loss
backup,6274,20240221,151.5,20240403,187.0,6,23.432343234323433,22.989843234323434,19149,hold_period
main,3406,20240306,409.5,20240417,447.5,6,9.27960927960928,8.83710927960928,7357,trailing_stop
backup,5284,20240313,197.0,20240417,183.20999999999998,5,-10.406091370558377,-7.4425,-6196,stop_loss
backup,3083,20240327,54.3,20240417,50.498999999999995,3,-10.220994475138117,-7.4425,-6200,stop_loss
main,8996,20240403,364.0,20240417,338.52,2,-7.967032967032966,-7.4425,-6185,stop_loss
backup,3013,20240313,53.1,20240424,75.4,6,41.99623352165725,41.55373352165725,34625,hold_period
backup,4915,20240320,85.5,20240508,99.2,7,16.0233918128655,15.5808918128655,12980,hold_period
main,1795,20240417,333.5,20240508,310.155,3,-13.043478260869565,-7.4425,-6189,stop_loss
main,2404,20240424,412.5,20240508,383.625,2,-7.151515151515151,-7.4425,-6180,stop_loss
backup,2739,20240508,73.4,20240515,68.262,1,-11.852861035422347,-7.4425,-6198,stop_loss
backup,6472,20240417,754.0,20240529,737.0,6,-2.2546419098143233,-2.6971419098143232,-2240,hold_period
backup,3675,20240424,293.5,20240605,323.0,6,10.051107325383304,9.608607325383304,7992,hold_period
backup,3466,20240508,57.1,20240619,87.8,6,53.76532399299474,53.322823992994735,44425,hold_period
main,3413,20240515,304.5,20240626,313.0,6,2.7914614121510675,2.3489614121510676,1955,hold_period
backup,1736,20240515,91.2,20240626,85.1,6,-6.68859649122808,-7.13109649122808,-5940,hold_period
main,8996,20240522,439.0,20240703,492.0,6,12.072892938496583,11.630392938496582,9664,hold_period
backup,3044,20240529,211.0,20240710,213.5,6,1.1848341232227488,0.7423341232227488,618,hold_period
backup,1560,20240605,281.5,20240717,340.0,6,20.781527531083483,20.339027531083484,16914,hold_period
main,5904,20240619,529.0,20240731,514.0,6,-2.835538752362949,-3.278038752362949,-2726,hold_period
backup,1519,20240703,970.0,20240731,902.0999999999999,4,-28.45360824742268,-7.4425,-6145,stop_loss
backup,3583,20240710,434.0,20240731,403.61999999999995,3,-7.603686635944701,-7.4425,-6178,stop_loss
backup,3013,20240717,133.5,20240731,124.15499999999999,2,-20.224719101123593,-7.4425,-6199,stop_loss
