entry_date,entry_price,entry_environment,entry_strategy,signal,exit_date,exit_price,profit_pct,profit_points,days_held,exit_environment,exit_strategy
2019-05-13,10558.2900390625,BEAR,均值回歸,SELL,2019-10-14,11066.9501953125,0.04817637651249495,101732.03125,154.0,BEAR,均值回歸
2020-02-03,11354.919921875,BEAR,均值回歸,SELL,2020-04-10,10157.6103515625,-0.10544412277235965,-239461.9140625,67.0,BEAR,均值回歸
2020-05-05,10774.6103515625,BULL,SMA趨勢,SELL,2023-01-13,14824.1298828125,0.3758390697314406,809903.90625,983.0,BULL,SMA趨勢
2023-01-31,15265.2001953125,BULL,SMA趨勢,SELL,2025-01-06,23547.7109375,0.5425746558326053,1656502.1484375,706.0,BEAR,均值回歸
2025-03-11,22071.08984375,BEAR,均值回歸,SELL,2025-04-29,20232.630859375,-0.08329715466658785,-367691.796875,49.0,BEAR,均值回歸
2025-05-22,21670.9609375,BULL,SMA趨勢,SELL,2025-12-11,28024.75,0.29319369274046525,1270757.8125,203.0,BULL,SMA趨勢
2025-12-17,27525.169921875,BULL,SMA趨勢,BUY,,,,,,,
