engine,stock,entry_date,entry_price,exit_date,exit_price,shares,gross_return_pct,net_return_pct,pnl_twd,exit_reason
Main,1795,20221209,254.0,20230106,240.5,122,-5.31496062992126,-5.75746062992126,-1787,hold_period
Main,2338,20221209,92.7,20230106,88.0,336,-5.070118662351675,-5.512618662351675,-1719,hold_period
Main,3443,20221209,794.0,20230106,738.42,39,-18.1360201511335,-7.4425,-2308,stop_loss
Main,4162,20221209,126.0,20230106,125.5,247,-0.3968253968253968,-0.8393253968253969,-262,hold_period
Main,6245,20221209,108.0,20230106,100.44,288,-17.96296296296297,-7.4425,-2318,stop_loss
Main,6472,20221209,394.5,20230106,406.5,79,3.041825095057034,2.599325095057034,811,hold_period
Main,8996,20221209,171.0,20230106,183.5,182,7.309941520467836,6.867441520467836,2140,hold_period
Main,1795,20221216,234.5,20230113,230.0,133,-1.9189765458422177,-2.361476545842218,-738,hold_period
Main,2338,20221216,90.0,20230113,90.8,346,0.8888888888888857,0.4463888888888857,139,hold_period
Main,2707,20221216,252.5,20230113,250.5,123,-0.7920792079207921,-1.2345792079207922,-384,hold_period
Main,3466,20221216,30.25,20230113,30.2,1031,-0.16528925619834947,-0.6077892561983494,-190,hold_period
Main,4746,20221216,74.3,20230113,69.09899999999999,419,-13.458950201884253,-7.4425,-2320,stop_loss
Main,6139,20221216,37.7,20230113,40.4,827,7.161803713527839,6.7193037135278395,2098,hold_period
Main,6223,20221216,117.0,20230113,114.0,266,-2.564102564102564,-3.0066025641025638,-937,hold_period
Main,1513,20221223,66.0,20230117,73.1,290,10.757575757575749,10.315075757575748,1977,hold_period
Main,1519,20221223,48.9,20230117,52.3,392,6.952965235173822,6.510465235173822,1250,hold_period
Main,2338,20221223,86.3,20230117,88.2,222,2.2016222479721965,1.7591222479721966,338,hold_period
Main,2495,20221223,21.6,20230117,20.088,889,-21.2962962962963,-7.4425,-1431,stop_loss
Main,2707,20221223,256.0,20230117,255.0,75,-0.390625,-0.833125,-160,hold_period
Main,2731,20221223,102.5,20230117,104.5,187,1.951219512195122,1.508719512195122,290,hold_period
Main,3466,20221223,31.75,20230117,30.75,604,-3.149606299212598,-3.592106299212598,-690,hold_period
Main,4746,20221223,73.1,20230117,67.98299999999999,262,-8.071135430916542,-7.4425,-1427,stop_loss
Main,5706,20221223,61.1,20230117,59.7,314,-2.2913256955810124,-2.7338256955810123,-525,hold_period
Main,6139,20221223,36.75,20230117,39.15,522,6.530612244897956,6.088112244897956,1170,hold_period
Main,6150,20221223,73.1,20230117,75.0,262,2.5991792065663555,2.1566792065663556,414,hold_period
Main,4746,20221230,73.5,20230203,69.6,1132,-5.3061224489795995,-5.748622448979599,-4790,hold_period
Main,6139,20221230,37.65,20230203,41.7,2210,10.756972111553797,10.314472111553796,8595,hold_period
Main,3128,20230106,41.05,20230210,44.75,2027,9.013398294762492,8.570898294762491,7142,hold_period
Main,3231,20230106,29.3,20230210,31.2,2840,6.484641638225251,6.042141638225251,5035,hold_period
Main,4155,20230203,31.45,20230303,33.25,1984,5.7233704292527845,5.280870429252785,3300,hold_period
Main,6180,20230203,81.9,20230303,83.5,762,1.9536019536019467,1.5111019536019468,944,hold_period
Main,8358,20230203,66.2,20230303,63.5,942,-4.078549848942602,-4.521049848942602,-2823,hold_period
Main,3693,20221223,114.0,20230310,118.5,168,3.9473684210526314,3.5048684210526315,672,trailing_stop
Main,2303,20230210,50.8,20230310,52.0,546,2.362204724409455,1.919704724409455,533,hold_period
Main,3006,20230210,78.6,20230310,77.2,352,-1.781170483460549,-2.223670483460549,-616,hold_period
Main,3035,20230210,193.5,20230310,187.0,143,-3.359173126614987,-3.801673126614987,-1053,hold_period
Main,4919,20230210,147.5,20230310,145.0,188,-1.694915254237288,-2.137415254237288,-594,hold_period
Main,8016,20230210,211.0,20230310,223.5,131,5.924170616113744,5.481670616113744,1517,hold_period
Main,8358,20230210,64.2,20230310,62.1,432,-3.2710280373831795,-3.7135280373831794,-1031,hold_period
Main,2303,20230217,50.0,20230317,53.2,356,6.400000000000006,5.957500000000006,1062,hold_period
Main,2482,20230217,51.0,20230317,52.8,349,3.529411764705877,3.086911764705877,550,hold_period
Main,3035,20230217,196.5,20230317,194.5,90,-1.0178117048346056,-1.4603117048346057,-259,hold_period
Main,3289,20230217,86.8,20230317,90.7,205,4.493087557603694,4.050587557603694,722,hold_period
Main,4155,20230217,32.85,20230317,36.85,542,12.1765601217656,11.7340601217656,2092,hold_period
Main,4919,20230217,144.5,20230317,148.0,123,2.422145328719723,1.979645328719723,352,hold_period
Main,6180,20230217,82.5,20230317,76.725,216,-10.181818181818189,-7.4425,-1328,stop_loss
Main,6290,20230217,70.3,20230317,67.6,253,-3.8406827880512133,-4.283182788051214,-763,hold_period
Main,8358,20230217,66.0,20230317,61.379999999999995,270,-10.3030303030303,-7.4425,-1328,stop_loss
Main,2303,20230224,49.95,20230324,53.1,555,6.306306306306303,5.863806306306303,1628,hold_period
Main,2727,20230224,278.5,20230324,311.5,99,11.8491921005386,11.4066921005386,3149,hold_period
Main,2731,20230224,127.5,20230324,127.0,217,-0.39215686274509803,-0.8346568627450981,-231,hold_period
Main,4960,20230224,12.5,20230324,12.6,2219,0.7999999999999973,0.35749999999999726,99,hold_period
Main,6290,20230224,74.1,20230324,69.4,374,-6.342780026990538,-6.785280026990538,-1883,hold_period
Main,2727,20230303,283.0,20230331,311.5,176,10.070671378091872,9.62817137809187,4802,hold_period
Main,4960,20230303,12.5,20230331,12.55,3994,0.40000000000000563,-0.042499999999994376,-21,hold_period
Main,6290,20230303,72.0,20230331,68.6,693,-4.72222222222223,-5.16472222222223,-2581,hold_period
Main,6290,20230310,69.0,20230407,68.4,1809,-0.869565217391296,-1.3120652173912961,-1640,hold_period
Main,2388,20230317,89.8,20230414,83.514,463,-8.463251670378613,-7.4425,-3099,stop_loss
Main,5258,20230317,91.8,20230414,92.8,453,1.0893246187363834,0.6468246187363834,269,hold_period
Main,5608,20230317,27.45,20230414,27.1,1515,-1.2750455373406115,-1.7175455373406114,-715,hold_period
Main,5425,20230210,89.1,20230421,95.4,311,7.070707070707084,6.628207070707084,1839,trailing_stop
Main,6531,20230210,247.0,20230421,291.0,112,17.813765182186234,17.371265182186235,4812,trailing_stop
Main,6472,20230224,503.0,20230421,711.0,55,41.35188866799205,40.90938866799205,11334,trailing_stop
Main,2243,20230324,22.7,20230421,21.110999999999997,1832,-9.251101321585894,-7.4425,-3099,stop_loss
Main,3594,20230324,49.35,20230421,52.3,843,5.977710233029373,5.535210233029373,2306,hold_period
Main,6719,20230324,328.5,20230421,330.5,126,0.60882800608828,0.16632800608828002,69,hold_period
Main,2338,20230331,92.5,20230428,86.02499999999999,385,-13.513513513513514,-7.4425,-2654,stop_loss
Main,2449,20230331,48.5,20230428,47.0,735,-3.0927835051546393,-3.535283505154639,-1262,hold_period
Main,3231,20230331,41.85,20230428,46.5,852,11.111111111111107,10.668611111111106,3809,hold_period
Main,3362,20230331,103.5,20230428,96.255,344,-11.594202898550725,-7.4425,-2654,stop_loss
Main,3680,20230331,374.0,20230428,349.0,95,-6.684491978609626,-7.126991978609626,-2536,hold_period
Main,5439,20230331,66.8,20230428,65.5,533,-1.9461077844311336,-2.3886077844311338,-852,hold_period
Main,2413,20230217,28.8,20230505,37.3,619,29.51388888888888,29.07138888888888,5190,trailing_stop
Main,2338,20230407,93.1,20230505,86.58299999999998,670,-13.426423200859292,-7.4425,-4649,stop_loss
Main,8478,20230407,513.0,20230505,499.0,121,-2.729044834307992,-3.171544834307992,-1971,hold_period
Main,2731,20230414,179.0,20230512,189.5,174,5.865921787709497,5.423421787709497,1692,hold_period
Main,3324,20230414,247.5,20230512,248.5,126,0.40404040404040403,-0.03845959595959597,-12,hold_period
Main,3675,20230414,290.0,20230512,304.0,107,4.827586206896552,4.385086206896552,1363,hold_period
Main,4147,20230414,103.0,20230512,105.0,302,1.9417475728155338,1.4992475728155337,467,hold_period
