股票,引擎,進場日期,進場價格,出場日期,出場價格,持倉天數,收益率%,收益金額,出場原因,投入資金
3443,main,20221209,794.00,20221222,730.00,13,-8.50%,"NT$-14,130",停損,"NT$166,182"
6472,main,20221209,394.50,20230309,495.00,90,+25.03%,"NT$+41,635",到期,"NT$166,321"
2731,backup,20221223,102.50,20230323,126.00,90,+22.48%,"NT$+37,458",到期,"NT$166,595"
3680,main,20230331,374.00,20230418,343.50,18,-8.60%,"NT$-14,297",停損,"NT$166,293"
6719,main,20230324,328.50,20230510,300.50,47,-8.97%,"NT$-14,925",停損,"NT$166,458"
1752,backup,20230428,80.60,20230511,70.20,13,-13.35%,"NT$-22,233",停損,"NT$166,595"
8046,main,20230602,308.00,20230608,282.00,6,-8.88%,"NT$-14,797",停損,"NT$166,557"
1795,main,20230526,327.00,20230703,299.00,38,-9.01%,"NT$-14,980",停損,"NT$166,353"
4763,main,20230421,435.00,20230720,806.00,90,+84.84%,"NT$+141,188",到期,"NT$166,407"
1519,backup,20230811,211.50,20230814,192.50,3,-9.43%,"NT$-15,692",停損,"NT$166,476"
6829,backup,20230901,154.00,20230905,143.00,4,-7.59%,"NT$-12,634",停損,"NT$166,557"
2645,backup,20230901,129.50,20230912,117.00,11,-10.10%,"NT$-16,823",停損,"NT$166,645"
2368,backup,20230908,208.50,20230918,193.00,10,-7.88%,"NT$-13,124",停損,"NT$166,620"
3035,backup,20230707,244.50,20231005,321.00,90,+30.85%,"NT$+51,357",到期,"NT$166,497"
3592,main,20230922,368.00,20231221,393.00,90,+6.35%,"NT$+10,579",到期,"NT$166,573"
8016,main,20230922,285.00,20231221,276.00,90,-3.60%,"NT$-5,991",到期,"NT$166,392"
6533,main,20231103,398.00,20240201,490.00,90,+22.67%,"NT$+37,774",到期,"NT$166,601"
8210,main,20240126,286.50,20240219,266.00,24,-7.60%,"NT$-12,643",停損,"NT$166,407"
2376,main,20240221,347.50,20240314,317.50,22,-9.08%,"NT$-15,096",停損,"NT$166,342"
3017,main,20240119,346.00,20240418,680.00,90,+96.09%,"NT$+160,145",到期,"NT$166,663"
1319,backup,20240202,83.00,20240502,122.50,90,+47.15%,"NT$+78,573",到期,"NT$166,652"
2404,main,20240426,408.00,20240510,375.00,14,-8.53%,"NT$-14,186",停損,"NT$166,293"
2739,backup,20240510,69.40,20240514,63.40,4,-9.09%,"NT$-15,146",停損,"NT$166,658"
4915,backup,20240322,84.50,20240620,95.40,90,+12.46%,"NT$+20,755",到期,"NT$166,618"
3413,main,20240517,307.00,20240805,271.00,80,-12.17%,"NT$-20,277",停損,"NT$166,631"
3466,backup,20240510,57.90,20240808,70.30,90,+20.97%,"NT$+34,951",到期,"NT$166,642"
5904,main,20240621,500.00,20240919,538.00,90,+7.16%,"NT$+11,898",到期,"NT$166,237"
6446,main,20240823,687.00,20240926,635.00,34,-8.01%,"NT$-13,339",停損,"NT$166,491"
6187,main,20241008,525.00,20241014,477.50,6,-9.49%,"NT$-15,816",停損,"NT$166,662"
5234,backup,20240923,235.00,20241015,215.00,22,-8.95%,"NT$-14,917",停損,"NT$166,617"
3081,backup,20240913,209.00,20241212,366.00,90,+74.68%,"NT$+124,413",到期,"NT$166,601"
6223,main,20241227,925.00,20250207,849.00,42,-8.66%,"NT$-14,357",停損,"NT$165,811"
3376,backup,20250221,287.00,20250306,265.00,13,-8.11%,"NT$-13,493",停損,"NT$166,410"
2383,main,20241213,599.00,20250313,580.00,90,-3.61%,"NT$-6,006",到期,"NT$166,159"
3491,main,20241220,316.00,20250320,466.00,90,+47.03%,"NT$+78,276",到期,"NT$166,453"
3563,main,20250314,565.00,20250327,523.00,13,-7.88%,"NT$-13,102",停損,"NT$166,347"
6643,main,20250307,707.00,20250328,646.00,21,-9.07%,"NT$-15,092",停損,"NT$166,382"
7722,main,20250328,685.00,20250331,630.00,3,-8.47%,"NT$-14,064",停損,"NT$166,006"
3147,backup,20250505,284.00,20250512,252.00,7,-11.71%,"NT$-19,516",停損,"NT$166,661"
2745,backup,20250516,128.00,20250606,117.50,21,-8.65%,"NT$-14,407",停損,"NT$166,637"
6669,backup,20250516,2380.00,20250814,3395.00,90,+42.20%,"NT$+69,407",到期,"NT$164,454"
6597,backup,20250606,73.50,20250820,66.10,75,-10.51%,"NT$-17,515",停損,"NT$166,641"
6510,main,20250523,831.00,20250821,1135.00,90,+36.14%,"NT$+60,150",到期,"NT$166,437"
3709,backup,20251017,50.00,20251029,44.50,12,-11.44%,"NT$-19,067",停損,"NT$166,637"
3450,backup,20251014,241.00,20251118,224.00,35,-7.50%,"NT$-12,484",停損,"NT$166,527"
3211,main,20260105,312.50,20260115,290.50,10,-7.48%,"NT$-12,457",停損,"NT$166,487"
6274,main,20251114,397.50,20260223,539.00,101,+35.15%,"NT$+58,495",到期,"NT$166,392"
6442,main,20251205,1185.00,20260306,1895.00,91,+59.47%,"NT$+98,806",到期,"NT$166,136"
