股票,引擎,進場日期,進場價格,出場日期,出場價格,日曆天數,收益率%,收益金額,出場原因,投入資金
7722,main,20250326,724.00,20250331,630.00,5,-13.43%,"NT$-11,097",停損,"NT$82,654"
3147,backup,20250430,280.50,20250512,252.00,12,-10.60%,"NT$-8,816",停損,"NT$83,146"
6191,backup,20250528,96.30,20250529,86.70,1,-10.41%,"NT$-8,675",停損,"NT$83,322"
2615,backup,20250528,112.50,20250605,104.00,8,-8.00%,"NT$-6,659",停損,"NT$83,256"
6597,backup,20250603,76.10,20250611,70.10,8,-8.33%,"NT$-6,936",停損,"NT$83,296"
4749,main,20250618,657.00,20250704,596.00,16,-9.73%,"NT$-8,064",停損,"NT$82,900"
3131,main,20250716,1655.00,20250724,1530.00,8,-8.00%,"NT$-6,626",停損,"NT$82,868"
2745,backup,20250514,122.00,20250812,121.00,90,-1.26%,"NT$-1,052",到期,"NT$83,323"
6669,backup,20250514,2345.00,20250812,3270.00,90,+39.00%,"NT$+32,057",到期,"NT$82,192"
6510,main,20250521,829.00,20250819,1140.00,90,+37.07%,"NT$+30,777",到期,"NT$83,018"
6805,main,20250625,831.00,20250923,1010.00,90,+21.10%,"NT$+17,557",到期,"NT$83,218"
6139,main,20250702,307.50,20250930,359.00,90,+16.31%,"NT$+13,557",到期,"NT$83,143"
3450,backup,20251008,283.00,20251013,262.50,5,-7.69%,"NT$-6,404",停損,"NT$83,321"
3709,backup,20251014,58.50,20251015,53.20,1,-9.50%,"NT$-7,916",停損,"NT$83,306"
6442,main,20251203,1250.00,20251218,1110.00,15,-11.64%,"NT$-9,619",停損,"NT$82,618"
